Time (s), Sensor Value (ADC)
0.53, 432
0.56, 407
0.58, 436
0.62, 470
0.65, 590
0.68, 684
0.72, 705
0.75, 741
0.78, 690
0.82, 671
0.90, 755
1.01, 730
1.11, 678
1.20, 675
1.30, 691
1.41, 673
1.50, 683
1.60, 691
1.70, 693
1.80, 687
1.91, 693
2.01, 690
2.10, 695
2.20, 691
2.30, 690
2.40, 694
2.50, 816
2.60, 759
2.70, 800
2.80, 689
2.90, 784
3.00, 676
3.10, 701
3.20, 676
3.30, 687
3.40, 701
3.51, 694
3.61, 688
3.70, 615
3.81, 675
3.90, 674
4.00, 656
4.10, 771
4.20, 658
4.31, 680
4.41, 657
4.51, 676
4.60, 694
4.71, 699
4.81, 693
4.91, 692
5.00, 691
5.11, 697
5.20, 718
5.31, 834
5.41, 794
5.51, 896
5.61, 4095
5.71, 4095
5.81, 2149
5.91, 1067
6.01, 870
6.11, 240
6.21, 799
6.31, 784
6.41, 890
6.52, 777
6.60, 751
6.71, 761
6.81, 740
6.91, 752
7.01, 734
7.11, 727
7.21, 738
7.31, 828
7.41, 731
7.52, 754
7.61, 746
7.72, 913
7.82, 1394
7.91, 2142
8.01, 4095
8.11, 4095
8.21, 2145
8.31, 1168
8.41, 992
8.51, 864
8.61, 817
8.70, 821
8.81, 3420
8.91, 4095
9.01, 1341
9.11, 951
9.20, 939
9.31, 816
9.41, 794
9.50, 2965
9.61, 4095
9.71, 1252
9.81, 973
9.92, 4095
10.02, 2407
10.12, 1078
10.22, 1486
10.31, 4095
10.40, 1353
10.50, 1019
10.62, 4095
10.72, 2286
10.81, 1055
10.90, 1825
11.00, 3923
11.10, 1147
11.20, 975
11.32, 4095
11.42, 1566
11.51, 1248
11.60, 4095
11.70, 1376
11.82, 1021
11.90, 4095
12.00, 1490
12.12, 1037
12.22, 4095
12.30, 1392
12.40, 993
12.50, 4095
12.60, 1765
12.70, 1113
12.80, 3507
12.90, 1719
13.02, 1168
13.12, 3334
13.22, 1360
13.32, 1707
13.40, 3987
13.50, 1105
13.62, 4095
13.70, 1810
13.80, 1371
13.92, 4095
14.02, 1239
14.12, 3018
14.20, 2511
14.30, 1085
14.42, 4095
14.52, 1186
14.62, 1040
14.70, 3121
14.80, 967
14.90, 928
15.00, 830
15.11, 821
15.22, 781
15.32, 900
15.40, 764
15.50, 795
15.60, 720
15.71, 753
15.81, 751
15.90, 746
16.00, 881
16.11, 767
16.21, 737
16.32, 701
16.40, 822
16.50, 915
16.60, 2763
16.70, 4095
16.80, 2635
16.91, 1222
17.01, 918
17.10, 850
17.21, 797
17.31, 742
17.42, 897
17.50, 3456
17.62, 2832
17.71, 1229
17.81, 899
17.91, 822
18.00, 821
18.11, 771
18.21, 763
18.30, 709
18.40, 756
18.50, 693
18.60, 741
18.71, 723
18.80, 726
18.90, 719
19.00, 718
19.10, 834
19.20, 743
19.30, 739
19.40, 1779
19.50, 4095
19.60, 3094
19.70, 1061
19.80, 869
19.91, 898
20.01, 794
20.10, 786
20.21, 3351
20.30, 2841
20.40, 1331
20.50, 800
20.60, 742
20.70, 720
20.80, 771
20.90, 2138
21.01, 4095
21.11, 3870
21.21, 3467
21.30, 4095
21.41, 1439
21.50, 930
21.60, 791
21.71, 1143
21.80, 4095
21.91, 3583
22.00, 3851
22.11, 1328
22.21, 912
22.31, 2890
22.41, 3975
22.50, 2518
22.61, 1045
22.71, 2099
22.81, 3774
22.91, 1866
23.01, 1005
23.10, 3194
23.20, 4095
23.31, 1365
23.41, 1264
23.51, 4095
23.61, 4095
23.71, 1237
23.81, 2633
23.90, 4095
24.03, 2343
24.11, 1357
24.22, 4095
24.31, 4095
24.42, 1329
24.51, 3226
24.62, 4095
24.71, 3116
24.82, 1019
24.91, 4095
25.01, 4095
25.11, 4095
25.21, 1045
25.31, 983
25.41, 816
25.52, 703
25.61, 2245
25.71, 3342
25.81, 1590
25.91, 3435
26.01, 1664
26.11, 906
26.22, 810
26.32, 2114
26.41, 2488
26.51, 1417
26.61, 4095
26.71, 1178
26.80, 889
26.92, 1439
27.01, 4095
27.11, 1478
27.20, 4095
27.31, 1472
27.40, 941
27.50, 896
27.60, 4095
27.70, 1485
27.80, 2890
27.90, 2055
28.00, 985
28.10, 1022
28.20, 4095
28.30, 1328
28.40, 3425
28.50, 1621
28.60, 1056
28.70, 919
28.80, 4095
28.90, 3236
29.00, 4095
29.10, 1185
29.20, 1075
29.30, 4095
29.40, 3246
29.50, 3539
29.60, 1230
29.70, 3619
29.82, 4095
29.92, 4095
