Sensor Name: tty
Initial Resistance: 40 ohms
Time (s), Voltage (V)
0.51, 0.81
0.76, 0.81
0.94, 0.80
1.07, 0.81
1.19, 0.81
1.31, 0.80
1.47, 0.80
1.60, 0.81
1.72, 0.81
1.84, 0.80
1.97, 0.80
2.09, 0.80
2.24, 0.80
2.37, 0.80
2.50, 0.80
2.62, 0.80
2.75, 0.80
2.89, 0.80
3.00, 0.80
3.12, 0.80
3.24, 0.79
3.37, 0.79
3.49, 0.79
3.60, 0.79
3.72, 0.79
3.84, 0.79
3.95, 0.80
4.07, 0.79
4.19, 0.79
4.30, 0.80
4.42, 0.80
4.54, 0.79
4.65, 0.80
4.77, 0.80
4.89, 0.79
5.00, 0.79
5.12, 0.80
5.23, 0.79
5.35, 0.79
5.47, 0.79
5.58, 0.80
5.70, 0.80
5.82, 0.79
5.93, 0.80
6.05, 0.79
6.17, 0.79
6.28, 0.79
6.40, 0.79
6.51, 0.79
6.63, 0.79
6.75, 0.79
6.87, 0.79
6.98, 0.79
7.10, 0.79
7.21, 0.79
7.33, 0.79
7.45, 0.79
7.56, 0.79
7.69, 0.79
7.81, 0.79
7.93, 0.78
8.05, 0.78
8.17, 0.79
8.28, 0.78
8.40, 0.78
8.51, 0.79
8.63, 0.79
8.75, 0.78
8.86, 0.79
8.98, 0.79
9.10, 0.78
9.21, 0.78
9.33, 0.78
9.46, 0.78
9.58, 0.78
9.69, 0.78
9.81, 0.78
9.93, 0.78
10.05, 0.78
10.16, 0.78
10.28, 0.78
10.40, 0.78
10.51, 0.78
10.63, 0.78
10.75, 0.77
10.86, 0.78
10.98, 0.78
11.10, 0.78
11.23, 0.78
11.40, 0.78
11.51, 0.78
11.63, 0.78
11.74, 0.78
11.86, 0.78
11.98, 0.78
12.09, 0.78
12.21, 0.77
12.33, 0.78
12.44, 0.78
12.56, 0.77
12.68, 0.78
12.79, 0.78
12.91, 0.78
13.03, 0.78
13.14, 0.78
13.26, 0.78
13.38, 0.77
13.49, 0.78
13.61, 0.78
13.73, 0.77
13.84, 0.78
13.96, 0.77
14.08, 0.78
14.19, 0.77
14.31, 0.78
14.42, 0.78
14.54, 0.78
14.66, 0.78
14.77, 0.79
14.89, 0.80
15.04, 0.81
15.16, 0.82
15.27, 0.83
15.39, 0.85
15.51, 0.86
15.62, 0.87
15.74, 0.89
15.86, 0.90
15.97, 0.92
16.09, 0.94
16.21, 0.96
16.33, 0.98
16.49, 0.99
16.61, 1.01
16.72, 1.03
16.84, 1.04
16.96, 1.06
17.07, 1.08
17.22, 1.09
17.34, 1.11
17.45, 1.12
17.57, 1.13
