Sensor Name: test_1uf
Initial Resistance: 80 ohms
Time (s), Voltage (V)
1.25, 1.71
1.37, 1.71
1.49, 1.71
1.61, 1.71
1.72, 1.71
1.84, 1.71
1.95, 1.71
2.07, 1.71
2.19, 1.71
2.30, 1.72
2.42, 1.71
2.54, 1.71
2.65, 1.72
2.77, 1.71
2.88, 1.71
3.00, 1.71
3.12, 1.71
3.23, 1.70
3.35, 1.71
3.47, 1.71
3.58, 1.71
3.70, 1.71
3.82, 1.70
3.93, 1.71
4.05, 1.70
4.17, 1.71
4.28, 1.70
4.40, 1.71
4.52, 1.70
4.63, 1.70
4.75, 1.70
4.87, 1.70
4.99, 1.70
5.12, 1.71
5.23, 1.70
5.35, 1.71
5.47, 1.70
5.58, 1.71
5.70, 1.70
5.82, 1.70
5.93, 1.71
6.05, 1.70
6.17, 1.71
6.28, 1.71
6.40, 1.70
6.52, 1.71
6.63, 1.71
6.75, 1.70
6.86, 1.71
6.98, 1.71
7.10, 1.70
7.21, 1.71
7.33, 1.70
7.45, 1.70
7.57, 1.71
7.68, 1.69
7.80, 1.71
7.91, 1.70
8.03, 1.70
8.15, 1.70
8.26, 1.70
8.38, 1.70
8.50, 1.70
8.61, 1.70
8.75, 1.70
8.86, 1.70
8.98, 1.70
9.10, 1.71
9.21, 1.70
9.33, 1.70
9.45, 1.71
9.56, 1.70
9.68, 1.70
9.80, 1.71
9.91, 1.70
10.03, 1.70
10.15, 1.70
10.26, 1.70
10.38, 1.70
10.50, 1.70
10.61, 1.71
10.73, 1.70
10.86, 1.71
10.98, 1.70
11.10, 1.70
11.21, 1.70
11.33, 1.70
11.44, 1.70
11.56, 1.70
11.68, 1.69
11.79, 1.70
11.91, 1.69
12.03, 1.70
12.14, 1.70
12.26, 1.70
12.38, 1.70
12.49, 1.70
12.61, 1.70
12.73, 1.69
12.84, 1.70
12.96, 1.70
13.08, 1.69
13.19, 1.70
13.31, 1.70
13.42, 1.70
13.54, 1.71
13.66, 1.71
13.77, 1.74
13.89, 1.77
14.01, 1.81
14.12, 1.84
14.24, 1.88
14.36, 1.93
14.47, 1.96
14.59, 2.00
14.71, 2.03
14.82, 2.08
14.94, 2.10
15.05, 2.13
15.17, 2.15
15.29, 2.17
15.41, 2.18
15.52, 2.20
15.64, 2.21
15.76, 2.22
15.87, 2.22
15.99, 2.23
16.10, 2.23
16.22, 2.24
16.34, 2.25
16.45, 2.24
16.57, 2.25
16.69, 2.26
16.81, 2.26
16.92, 2.28
17.04, 2.30
17.15, 2.69
17.27, 3.06
17.39, 3.24
17.51, 3.34
17.62, 3.39
17.74, 3.39
17.85, 3.38
17.97, 3.38
18.09, 3.38
18.20, 3.38
18.32, 3.38
18.44, 3.36
18.55, 3.37
18.67, 3.35
18.79, 3.36
18.90, 3.34
19.02, 3.34
19.14, 3.33
19.25, 3.33
19.37, 3.32
19.49, 3.32
19.60, 3.32
19.72, 3.31
19.84, 3.31
19.97, 3.31
20.09, 3.30
20.20, 3.30
20.32, 3.31
20.44, 3.30
20.57, 3.30
20.69, 3.30
20.80, 3.29
20.92, 3.30
21.03, 3.29
21.15, 3.28
21.27, 3.29
21.38, 3.29
21.50, 3.28
21.62, 3.28
21.73, 3.27
21.85, 3.27
21.97, 3.28
22.08, 3.26
22.20, 3.27
22.32, 3.26
22.43, 3.26
22.55, 3.26
22.67, 3.26
22.78, 3.26
22.90, 3.26
23.02, 3.26
23.13, 3.25
23.25, 3.25
23.36, 3.25
23.48, 3.26
23.60, 3.25
23.72, 3.26
23.83, 3.25
23.95, 3.24
24.06, 3.25
24.18, 3.24
24.30, 3.25
24.41, 3.24
24.53, 3.23
24.65, 3.24
24.76, 3.24
24.88, 3.23
25.00, 3.24
25.11, 3.23
25.23, 3.22
25.35, 3.23
25.46, 3.22
25.58, 3.22
25.70, 3.23
25.81, 3.21
25.93, 3.22
26.05, 3.21
26.16, 3.22
26.28, 3.21
26.40, 3.21
26.51, 3.21
26.63, 3.21
26.75, 3.21
26.86, 3.21
26.98, 3.21
27.10, 3.21
27.21, 3.21
27.33, 3.21
27.44, 3.21
27.56, 3.20
27.68, 3.21
27.81, 3.20
27.93, 3.20
28.04, 3.21
28.16, 3.19
28.28, 3.19
28.39, 3.20
28.51, 3.20
28.63, 3.19
28.74, 3.20
28.86, 3.20
28.98, 3.18
29.09, 3.20
29.21, 3.18
29.33, 3.19
29.44, 3.19
29.56, 3.18
29.68, 3.18
29.79, 3.18
29.91, 3.18
30.03, 3.18
30.14, 3.18
30.28, 3.18
30.39, 3.18
30.51, 3.18
30.62, 3.18
30.74, 3.18
30.86, 3.18
30.98, 3.18
31.09, 3.19
31.21, 3.18
31.32, 3.18
31.44, 3.19
31.56, 3.18
31.67, 3.18
31.79, 3.19
31.91, 3.17
32.02, 3.17
32.14, 3.18
32.26, 3.18
32.37, 3.17
32.49, 3.18
32.61, 3.17
32.72, 3.17
32.84, 3.17
32.96, 3.16
33.07, 3.17
33.19, 3.16
33.31, 3.18
33.42, 3.16
33.54, 3.17
33.66, 3.16
33.77, 3.17
33.89, 3.16
34.00, 3.16
34.12, 3.17
34.24, 3.16
34.36, 3.16
34.47, 3.17
34.59, 3.17
34.70, 3.16
34.82, 3.17
34.94, 3.16
35.05, 3.17
35.17, 3.17
35.29, 3.16
35.40, 3.17
35.52, 3.17
35.64, 3.15
35.75, 3.16
35.87, 3.17
35.99, 3.16
36.10, 3.16
36.22, 3.16
36.34, 3.15
36.45, 3.16
36.57, 3.16
36.69, 3.16
36.80, 3.15
36.92, 3.15
37.04, 3.15
37.15, 3.15
37.27, 3.15
37.38, 3.16
37.50, 3.15
37.62, 3.16
37.73, 3.15
37.85, 3.15
37.97, 3.16
38.09, 3.15
38.20, 3.16
38.32, 3.15
38.43, 3.15
38.55, 3.16
38.67, 3.15
38.78, 3.15
38.90, 3.16
39.02, 3.14
39.13, 3.15
39.25, 3.15
39.37, 3.14
39.48, 3.14
39.60, 3.15
39.72, 3.15
39.83, 3.14
39.95, 3.15
40.07, 3.14
40.18, 3.15
40.30, 3.14
40.42, 3.14
40.53, 3.13
40.65, 3.14
40.77, 3.14
40.88, 3.14
41.00, 3.14
41.12, 3.14
41.23, 3.14
41.35, 3.14
41.46, 3.13
41.58, 3.14
41.70, 3.14
41.81, 3.14
41.93, 3.13
42.05, 3.14
42.16, 3.13
42.28, 3.14
42.40, 3.14
42.51, 3.13
42.63, 3.15
42.75, 3.14
42.86, 3.13
42.98, 3.14
43.10, 3.13
43.21, 3.13
43.33, 3.14
43.45, 3.13
43.56, 3.13
43.68, 3.14
43.80, 3.12
43.91, 3.13
44.03, 3.13
44.15, 3.13
44.26, 3.12
44.38, 3.13
44.49, 3.12
44.61, 3.13
44.73, 3.13
44.85, 3.13
44.96, 3.12
45.08, 3.12
45.20, 3.12
45.31, 3.13
45.43, 3.12
45.54, 3.13
45.66, 3.12
45.78, 3.13
45.89, 3.13
46.01, 3.12
46.13, 3.14
46.24, 3.13
46.36, 3.12
46.48, 3.13
46.59, 3.13
46.71, 3.11
46.83, 3.12
46.94, 3.12
47.06, 3.11
47.18, 3.13
47.29, 3.12
47.41, 3.12
47.52, 3.12
47.64, 3.11
47.76, 3.12
47.88, 3.11
47.99, 3.11
48.11, 3.11
48.22, 3.11
48.34, 3.11
48.46, 3.11
48.57, 3.12
48.69, 3.12
48.81, 3.12
48.92, 3.11
49.04, 3.12
49.16, 3.12
49.27, 3.12
49.39, 3.11
49.51, 3.11
49.62, 3.12
49.74, 3.11
49.86, 3.11
49.97, 3.13
50.09, 3.11
50.21, 3.11
50.32, 3.12
50.44, 3.11
50.56, 3.11
50.67, 3.12
50.79, 3.12
50.91, 3.11
51.02, 3.11
51.14, 3.10
51.26, 3.11
51.37, 3.10
51.49, 3.12
51.61, 3.10
51.72, 3.10
51.84, 3.10
51.95, 3.11
52.07, 3.10
52.19, 3.11
52.31, 3.11
52.42, 3.11
52.54, 3.11
52.65, 3.11
52.77, 3.11
52.89, 3.11
53.00, 3.11
53.12, 3.11
53.24, 3.11
53.35, 3.10
53.47, 3.12
53.59, 3.11
53.70, 3.10
53.82, 3.12
53.94, 3.11
54.05, 3.10
54.17, 3.11
54.28, 3.11
54.40, 3.09
54.52, 3.11
54.64, 3.10
54.75, 3.11
54.87, 3.10
54.99, 3.11
55.10, 3.10
55.22, 3.11
55.34, 3.10
55.45, 3.10
55.57, 3.10
55.69, 3.11
55.80, 3.10
55.92, 3.10
56.03, 3.10
56.15, 3.11
56.27, 3.10
56.38, 3.11
56.50, 3.10
56.62, 3.10
56.73, 3.11
56.85, 3.10
56.97, 3.11
57.08, 3.11
57.20, 3.10
57.32, 3.11
57.43, 3.11
57.55, 3.10
57.67, 3.11
57.78, 3.10
57.90, 3.10
58.02, 3.11
58.13, 3.11
58.25, 3.10
58.37, 3.11
58.48, 3.10
58.60, 3.11
58.72, 3.10
58.83, 3.11
58.95, 3.10
59.06, 3.11
59.18, 3.10
59.30, 3.10
59.41, 3.10
59.53, 3.10
59.65, 3.10
59.76, 3.10
59.88, 3.10
60.00, 3.11
60.11, 3.10
60.23, 3.11
60.35, 3.10
60.46, 3.10
60.58, 3.11
60.70, 3.11
60.81, 3.10
60.93, 3.11
61.05, 3.11
61.16, 3.09
61.28, 3.11
61.40, 3.10
61.51, 3.09
61.63, 3.11
61.75, 3.10
61.86, 3.10
61.98, 3.11
62.09, 3.09
62.21, 3.11
62.33, 3.10
62.45, 3.10
62.56, 3.09
62.68, 3.10
62.80, 3.09
62.91, 3.10
63.03, 3.10
63.14, 3.09
63.26, 3.10
63.38, 3.10
63.49, 3.10
63.61, 3.10
63.73, 3.10
63.84, 3.11
63.96, 3.10
64.08, 3.10
64.19, 3.11
64.31, 3.10
64.43, 3.10
64.54, 3.11
64.66, 3.10
64.78, 3.10
64.89, 3.11
65.01, 3.09
65.13, 3.09
65.24, 3.11
65.36, 3.10
65.47, 3.10
65.59, 3.10
65.71, 3.09
65.82, 3.10
65.94, 3.09
66.06, 3.10
66.18, 3.09
66.29, 3.09
66.41, 3.09
66.52, 3.09
66.64, 3.09
66.76, 3.10
66.87, 3.09
66.99, 3.09
67.11, 3.10
67.22, 3.09
67.34, 3.10
67.46, 3.10
67.57, 3.09
67.69, 3.10
67.81, 3.09
67.92, 3.10
68.04, 3.10
68.16, 3.09
68.27, 3.10
68.39, 3.10
68.51, 3.09
68.62, 3.09
68.74, 3.09
68.86, 3.09
68.97, 3.09
69.09, 3.09
69.20, 3.08
69.32, 3.09
69.44, 3.08
69.56, 3.09
69.67, 3.08
69.79, 3.09
69.90, 3.07
70.02, 3.08
70.14, 3.08
70.25, 3.08
70.37, 3.08
70.49, 3.08
70.60, 3.08
70.72, 3.08
70.84, 3.08
70.95, 3.08
71.07, 3.08
71.19, 3.07
71.30, 3.08
71.42, 3.08
71.54, 3.08
71.65, 3.09
71.77, 3.07
71.89, 3.07
72.00, 3.08
72.13, 3.08
72.25, 3.07
72.37, 3.07
72.49, 3.08
72.60, 3.06
72.72, 3.08
72.83, 3.06
72.95, 3.07
73.07, 3.06
73.18, 3.07
73.30, 3.06
73.42, 3.07
73.53, 3.06
73.65, 3.06
73.77, 3.06
73.88, 3.07
74.00, 3.06
74.12, 3.06
74.23, 3.06
74.35, 3.06
74.47, 3.06
74.58, 3.06
74.70, 3.06
74.82, 3.07
74.93, 3.06
75.05, 3.05
75.17, 3.07
75.28, 3.06
75.40, 3.05
75.52, 3.07
75.63, 3.06
75.75, 3.05
75.87, 3.06
75.98, 3.05
76.10, 3.04
76.21, 3.04
76.33, 3.03
76.45, 3.02
76.57, 3.01
76.68, 2.98
76.80, 2.98
76.92, 2.96
77.03, 2.95
77.15, 2.93
77.26, 2.92
77.38, 2.90
77.50, 2.89
77.61, 2.88
77.73, 2.87
77.85, 2.86
77.96, 2.86
78.08, 2.86
78.20, 2.86
78.31, 2.85
78.43, 2.85
78.55, 2.83
78.66, 2.83
78.78, 2.83
78.90, 2.82
79.01, 2.81
79.13, 2.81
79.25, 2.81
79.36, 2.79
79.48, 2.80
79.60, 2.79
79.71, 2.78
79.83, 2.79
79.94, 2.77
80.06, 2.77
80.18, 2.77
80.29, 2.75
80.41, 2.76
80.53, 2.75
80.65, 2.75
80.76, 2.74
80.88, 2.74
80.99, 2.74
81.11, 2.74
81.23, 2.74
81.34, 2.74
81.46, 2.74
81.58, 2.74
81.69, 2.74
81.81, 2.74
81.93, 2.74
82.04, 2.75
82.16, 2.74
82.28, 2.74
82.39, 2.75
82.51, 2.74
82.63, 2.74
82.76, 2.75
82.88, 2.74
82.99, 2.73
83.11, 2.74
83.23, 2.73
83.34, 2.73
83.46, 2.74
83.58, 2.73
83.69, 2.73
83.81, 2.73
83.92, 2.72
84.04, 2.73
84.16, 2.73
84.27, 2.73
84.39, 2.72
84.51, 2.73
84.62, 2.73
84.74, 2.72
84.86, 2.73
84.97, 2.73
85.09, 2.73
85.21, 2.73
85.32, 2.73
85.44, 2.73
85.56, 2.72
85.67, 2.73
85.79, 2.72
85.91, 2.73
86.02, 2.73
86.14, 2.72
86.26, 2.73
86.37, 2.73
86.49, 2.72
86.60, 2.73
86.72, 2.72
86.84, 2.72
86.96, 2.72
87.07, 2.73
87.19, 2.72
87.31, 2.73
87.42, 2.71
87.54, 2.73
87.66, 2.72
87.77, 2.72
87.89, 2.71
88.00, 2.73
88.12, 2.71
88.24, 2.72
88.35, 2.71
88.47, 2.72
88.59, 2.72
88.70, 2.71
88.82, 2.71
88.94, 2.72
89.05, 2.71
89.17, 2.71
89.29, 2.71
89.40, 2.71
89.52, 2.72
89.64, 2.71
89.75, 2.71
89.87, 2.72
89.98, 2.71
90.10, 2.71
90.22, 2.72
90.34, 2.72
90.45, 2.70
90.57, 2.71
90.68, 2.71
90.80, 2.71
90.92, 2.71
91.04, 2.70
91.15, 2.71
91.27, 2.70
91.38, 2.71
91.50, 2.70
91.62, 2.71
91.73, 2.70
91.85, 2.70
91.97, 2.70
92.08, 2.70
92.20, 2.70
92.32, 2.70
92.43, 2.70
92.55, 2.70
92.67, 2.70
92.78, 2.71
92.90, 2.70
93.02, 2.70
93.13, 2.70
93.25, 2.70
93.38, 2.71
93.50, 2.70
93.62, 2.69
93.73, 2.70
