Sensor Name: ttx_224
Initial Resistance: 89 ohms
Time (s), Voltage (V)
1.35, 1.70
1.47, 1.70
1.59, 1.70
1.70, 1.71
1.82, 1.71
1.93, 1.70
2.05, 1.71
2.17, 1.70
2.28, 1.71
2.40, 1.70
2.52, 1.70
2.64, 1.69
2.75, 1.69
2.88, 1.70
3.00, 1.70
3.12, 1.70
3.23, 1.70
3.35, 1.71
3.46, 1.71
3.58, 1.71
3.70, 1.71
3.81, 1.70
3.93, 1.71
4.05, 1.70
4.16, 1.70
4.28, 1.70
4.40, 1.70
4.51, 1.70
4.63, 1.70
4.75, 1.70
4.86, 1.70
4.98, 1.70
5.10, 1.70
5.21, 1.70
5.33, 1.71
5.45, 1.71
5.56, 1.70
5.68, 1.71
5.80, 1.69
5.91, 1.70
6.03, 1.69
6.15, 1.70
6.26, 1.69
6.38, 1.70
6.49, 1.69
6.61, 1.70
6.73, 1.70
6.84, 1.70
6.96, 1.70
7.08, 1.70
7.20, 1.70
7.31, 1.71
7.43, 1.70
7.54, 1.70
7.66, 1.69
7.78, 1.69
7.89, 1.70
8.01, 1.69
8.12, 1.69
8.24, 1.70
8.36, 1.70
8.48, 1.68
8.59, 1.70
8.71, 1.70
8.83, 1.69
8.94, 1.70
9.06, 1.70
9.18, 1.70
9.29, 1.70
9.41, 1.69
9.52, 1.69
9.64, 1.69
9.76, 1.69
9.87, 1.69
9.99, 1.69
10.11, 1.69
10.22, 1.69
10.34, 1.69
10.46, 1.70
10.57, 1.70
10.69, 1.70
10.81, 1.70
10.92, 1.70
11.04, 1.70
11.16, 1.69
11.27, 1.69
11.39, 1.69
11.51, 1.69
11.62, 1.68
11.74, 1.69
11.86, 1.69
11.97, 1.68
12.09, 1.69
12.21, 1.70
12.32, 1.69
12.44, 1.70
12.56, 1.70
12.67, 1.69
12.79, 1.70
12.90, 1.69
13.02, 1.69
13.14, 1.68
13.25, 1.69
13.37, 1.68
13.49, 1.69
13.60, 1.69
13.72, 1.78
13.84, 1.94
13.95, 2.09
14.07, 2.21
14.19, 2.29
14.30, 2.34
14.42, 2.38
14.54, 2.39
14.65, 2.41
14.77, 2.41
14.89, 2.42
15.00, 2.42
15.12, 2.42
15.23, 2.42
15.35, 2.43
15.47, 2.42
15.58, 2.42
15.70, 2.43
15.82, 2.43
15.94, 2.42
16.05, 2.43
16.17, 2.43
16.29, 2.43
16.40, 2.42
16.53, 2.41
16.65, 2.43
16.77, 2.45
16.88, 2.48
17.00, 2.49
17.12, 2.51
17.23, 2.53
17.35, 2.57
17.47, 2.61
17.58, 2.62
17.70, 2.64
17.82, 2.65
17.93, 2.67
18.05, 2.66
18.17, 2.66
18.29, 2.67
18.40, 2.66
18.52, 2.66
18.63, 2.66
18.75, 2.66
18.87, 2.67
18.98, 2.67
19.10, 2.66
19.22, 2.67
19.33, 2.68
19.45, 2.68
19.57, 2.67
19.68, 2.67
19.80, 2.67
19.91, 2.68
20.03, 2.67
20.15, 2.66
20.27, 2.67
20.38, 2.67
20.50, 2.67
20.62, 2.67
20.73, 2.68
20.85, 2.67
20.96, 2.68
