Sensor Name: ttx_224
Initial Resistance: 90 ohms
Start Time: 2024-11-01 23:40:50
Time (s), Voltage (V)
-1730482187.63, 1.29
-1730482187.51, 1.29
-1730482187.40, 1.28
-1730482187.28, 1.29
-1730482187.15, 1.29
-1730482187.03, 1.29
-1730482186.91, 1.28
-1730482186.80, 1.29
-1730482186.68, 1.28
-1730482186.57, 1.28
-1730482186.45, 1.28
-1730482186.33, 1.28
-1730482186.21, 1.28
-1730482186.10, 1.28
-1730482185.98, 1.28
-1730482185.87, 1.28
-1730482185.75, 1.29
-1730482185.63, 1.28
-1730482185.52, 1.28
-1730482185.40, 1.29
-1730482185.28, 1.29
-1730482185.17, 1.28
-1730482185.05, 1.28
-1730482184.93, 1.27
-1730482184.82, 1.28
-1730482184.70, 1.28
-1730482184.58, 1.27
-1730482184.47, 1.28
-1730482184.35, 1.27
-1730482184.24, 1.28
-1730482184.12, 1.27
-1730482184.00, 1.28
-1730482183.88, 1.28
-1730482183.77, 1.28
-1730482183.65, 1.28
-1730482183.54, 1.28
-1730482183.42, 1.28
-1730482183.30, 1.27
-1730482183.19, 1.27
-1730482183.07, 1.26
-1730482182.95, 1.27
-1730482182.84, 1.27
-1730482182.72, 1.27
-1730482182.60, 1.27
-1730482182.48, 1.27
-1730482182.37, 1.27
-1730482182.25, 1.28
-1730482182.14, 1.28
-1730482182.02, 1.27
-1730482181.90, 1.28
-1730482181.79, 1.27
-1730482181.67, 1.27
-1730482181.56, 1.27
-1730482181.44, 1.26
-1730482181.32, 1.27
-1730482181.20, 1.27
-1730482181.09, 1.27
-1730482180.97, 1.27
-1730482180.85, 1.27
-1730482180.74, 1.27
-1730482180.62, 1.27
-1730482180.51, 1.27
-1730482180.39, 1.27
-1730482180.27, 1.27
-1730482180.16, 1.27
-1730482180.04, 1.26
-1730482179.92, 1.27
-1730482179.81, 1.26
-1730482179.69, 1.26
-1730482179.57, 1.26
-1730482179.46, 1.26
-1730482179.34, 1.26
-1730482179.22, 1.26
-1730482179.10, 1.27
-1730482178.98, 1.27
-1730482178.85, 1.27
-1730482178.74, 1.27
-1730482178.62, 1.27
-1730482178.51, 1.26
-1730482178.39, 1.27
-1730482178.27, 1.26
-1730482178.09, 1.26
-1730482177.97, 1.26
-1730482177.86, 1.26
-1730482177.74, 1.26
-1730482177.62, 1.26
-1730482177.50, 1.26
-1730482177.37, 1.26
-1730482177.26, 1.27
-1730482177.14, 1.27
-1730482177.03, 1.27
-1730482176.91, 1.27
-1730482176.80, 1.26
-1730482176.69, 1.26
-1730482176.57, 1.26
-1730482176.46, 1.25
-1730482176.34, 1.26
-1730482176.22, 1.25
-1730482176.11, 1.25
-1730482175.99, 1.25
-1730482175.88, 1.25
-1730482175.76, 1.26
-1730482175.64, 1.26
-1730482175.53, 1.26
-1730482175.41, 1.27
-1730482175.29, 1.26
-1730482175.18, 1.26
-1730482175.06, 1.26
-1730482174.94, 1.25
-1730482174.83, 1.25
-1730482174.71, 1.25
-1730482174.59, 1.26
-1730482174.48, 1.25
-1730482174.36, 1.25
-1730482174.24, 1.25
-1730482174.13, 1.25
-1730482174.01, 1.25
-1730482173.90, 1.25
-1730482173.78, 1.26
-1730482173.66, 1.26
-1730482173.54, 1.26
-1730482173.43, 1.25
-1730482173.31, 1.25
-1730482173.19, 1.25
-1730482173.08, 1.24
-1730482172.96, 1.24
-1730482172.85, 1.24
-1730482172.73, 1.24
-1730482172.61, 1.25
-1730482172.50, 1.24
-1730482172.38, 1.25
-1730482172.26, 1.25
-1730482172.15, 1.25
-1730482172.03, 1.25
-1730482171.91, 1.25
-1730482171.80, 1.24
-1730482171.68, 1.24
-1730482171.56, 1.24
