Sensor Name: ttx_102Box
Initial Resistance: 90 ohms
Start Time: 2024-11-01 23:56:44
Time (s), Voltage (V)
-1730482187.62, 2.85
-1730482187.53, 2.83
-1730482187.42, 2.76
-1730482187.32, 2.74
-1730482187.22, 2.74
-1730482187.12, 2.75
-1730482187.02, 2.78
-1730482186.92, 2.83
-1730482186.82, 2.83
-1730482186.72, 2.87
-1730482186.62, 2.87
-1730482186.52, 2.88
-1730482186.41, 2.92
-1730482186.31, 2.86
-1730482186.20, 2.82
-1730482186.11, 2.77
-1730482186.01, 2.74
-1730482185.91, 2.73
-1730482185.80, 2.75
-1730482185.70, 2.80
-1730482185.60, 2.82
-1730482185.50, 2.82
-1730482185.40, 2.87
-1730482185.30, 2.86
-1730482185.20, 2.88
-1730482185.09, 2.92
-1730482185.00, 2.86
-1730482184.89, 2.82
-1730482184.79, 2.77
-1730482184.69, 2.74
-1730482184.59, 2.74
-1730482184.49, 2.74
-1730482184.39, 2.80
-1730482184.29, 2.82
-1730482184.18, 2.83
-1730482184.08, 2.87
-1730482183.98, 2.86
-1730482183.88, 2.88
-1730482183.78, 2.92
-1730482183.68, 2.86
-1730482183.58, 2.82
-1730482183.48, 2.75
-1730482183.37, 2.74
-1730482183.28, 2.73
-1730482183.17, 2.75
-1730482183.07, 2.78
-1730482182.97, 2.81
-1730482182.87, 2.83
-1730482182.76, 2.85
-1730482182.67, 2.87
-1730482182.56, 2.89
-1730482182.46, 2.92
-1730482182.36, 2.85
-1730482182.26, 2.83
-1730482182.16, 2.75
-1730482182.06, 2.74
-1730482181.96, 2.73
-1730482181.86, 2.76
-1730482181.75, 2.78
-1730482181.65, 2.82
-1730482181.55, 2.82
-1730482181.45, 2.86
-1730482181.35, 2.87
-1730482181.24, 2.89
-1730482181.15, 2.91
-1730482181.04, 2.86
-1730482180.94, 2.83
-1730482180.84, 2.75
-1730482180.74, 2.73
-1730482180.64, 2.73
-1730482180.53, 2.75
-1730482180.44, 2.79
-1730482180.33, 2.82
-1730482180.23, 2.82
-1730482180.13, 2.86
-1730482180.03, 2.87
-1730482179.93, 2.89
-1730482179.83, 2.92
-1730482179.73, 2.85
-1730482179.63, 2.81
-1730482179.52, 2.76
-1730482179.42, 2.73
-1730482179.32, 2.74
-1730482179.22, 2.74
-1730482179.12, 2.79
-1730482179.02, 2.81
-1730482178.92, 2.82
-1730482178.81, 2.85
-1730482178.71, 2.87
-1730482178.61, 2.89
-1730482178.51, 2.91
-1730482178.41, 2.85
-1730482178.31, 2.82
-1730482178.20, 2.75
-1730482178.11, 2.73
-1730482178.00, 2.73
-1730482177.90, 2.75
-1730482177.80, 2.80
-1730482177.70, 2.81
-1730482177.60, 2.82
-1730482177.50, 2.87
-1730482177.39, 2.86
-1730482177.29, 2.88
-1730482177.19, 2.92
-1730482177.09, 2.86
-1730482176.99, 2.82
-1730482176.88, 2.75
-1730482176.78, 2.73
-1730482176.68, 2.72
-1730482176.58, 2.75
-1730482176.48, 2.78
-1730482176.38, 2.81
-1730482176.28, 2.82
-1730482176.18, 2.86
-1730482176.08, 2.86
-1730482175.98, 2.88
-1730482175.87, 2.91
-1730482175.77, 2.86
-1730482175.67, 2.82
-1730482175.57, 2.76
-1730482175.47, 2.73
-1730482175.37, 2.72
-1730482175.27, 2.74
-1730482175.16, 2.78
-1730482175.07, 2.81
-1730482174.96, 2.81
-1730482174.86, 2.86
-1730482174.76, 2.86
-1730482174.66, 2.87
-1730482174.55, 2.91
-1730482174.46, 2.87
-1730482174.36, 2.82
-1730482174.25, 2.76
-1730482174.15, 2.73
-1730482174.05, 2.73
-1730482173.95, 2.73
-1730482173.85, 2.80
-1730482173.74, 2.81
-1730482173.64, 2.82
-1730482173.54, 2.84
-1730482173.44, 2.86
-1730482173.34, 2.87
-1730482173.24, 2.91
-1730482173.14, 2.88
-1730482173.04, 2.82
-1730482172.93, 2.77
-1730482172.84, 2.73
-1730482172.73, 2.73
-1730482172.63, 2.73
-1730482172.53, 2.79
-1730482172.43, 2.79
-1730482172.33, 2.81
-1730482172.22, 2.84
-1730482172.12, 2.86
-1730482172.02, 2.87
-1730482171.92, 2.92
-1730482171.82, 2.91
-1730482171.72, 2.82
-1730482171.62, 2.78
-1730482171.52, 2.72
-1730482171.42, 2.72
-1730482171.32, 2.74
-1730482171.21, 2.78
-1730482171.11, 2.79
-1730482171.01, 2.82
-1730482170.91, 2.83
-1730482170.81, 2.86
-1730482170.70, 2.88
-1730482170.60, 2.92
-1730482170.50, 2.89
-1730482170.40, 2.82
-1730482170.30, 2.78
-1730482170.19, 2.72
-1730482170.10, 2.72
-1730482169.99, 2.72
-1730482169.89, 2.77
-1730482169.79, 2.79
-1730482169.69, 2.81
-1730482169.59, 2.81
-1730482169.49, 2.86
-1730482169.39, 2.86
-1730482169.28, 2.90
-1730482169.19, 2.91
-1730482169.08, 2.83
-1730482168.98, 2.81
-1730482168.88, 2.73
-1730482168.78, 2.72
-1730482168.68, 2.72
-1730482168.57, 2.74
-1730482168.47, 2.78
-1730482168.38, 2.80
-1730482168.27, 2.81
-1730482168.17, 2.85
-1730482168.07, 2.86
-1730482167.97, 2.88
-1730482167.87, 2.90
-1730482167.76, 2.85
-1730482167.66, 2.82
-1730482167.56, 2.74
-1730482167.45, 2.72
-1730482167.36, 2.71
-1730482167.26, 2.72
-1730482167.15, 2.77
-1730482167.05, 2.80
-1730482166.95, 2.81
-1730482166.86, 2.85
-1730482166.75, 2.85
-1730482166.65, 2.87
-1730482166.55, 2.90
-1730482166.45, 2.88
-1730482166.35, 2.81
-1730482166.24, 2.77
-1730482166.15, 2.70
-1730482166.05, 2.71
-1730482165.94, 2.71
-1730482165.84, 2.77
-1730482165.74, 2.78
-1730482165.64, 2.79
-1730482165.54, 2.82
-1730482165.44, 2.85
-1730482165.33, 2.87
-1730482165.23, 2.92
-1730482165.13, 2.93
-1730482165.03, 2.83
-1730482164.93, 2.77
-1730482164.83, 2.69
-1730482164.73, 2.64
-1730482164.62, 2.62
-1730482164.52, 2.75
-1730482164.42, 2.77
-1730482164.32, 2.80
-1730482164.22, 2.81
-1730482164.12, 2.85
-1730482164.02, 2.86
-1730482163.91, 2.89
-1730482163.82, 2.93
-1730482163.71, 2.83
-1730482163.61, 2.81
-1730482163.51, 2.72
-1730482163.41, 2.71
-1730482163.31, 2.69
-1730482163.21, 2.73
-1730482163.10, 2.77
-1730482163.01, 2.79
-1730482162.90, 2.79
-1730482162.80, 2.86
-1730482162.70, 2.88
-1730482162.60, 2.88
-1730482162.50, 2.91
-1730482162.39, 2.86
-1730482162.29, 2.80
-1730482162.19, 2.75
-1730482162.09, 2.70
-1730482161.99, 2.70
-1730482161.89, 2.71
-1730482161.79, 2.75
-1730482161.68, 2.78
-1730482161.58, 2.81
-1730482161.48, 2.84
-1730482161.38, 2.85
-1730482161.28, 2.87
-1730482161.18, 2.90
-1730482161.08, 2.94
-1730482160.97, 2.83
-1730482160.87, 2.76
-1730482160.77, 2.67
-1730482160.67, 2.65
-1730482160.57, 2.65
-1730482160.46, 2.74
-1730482160.36, 2.77
-1730482160.27, 2.78
-1730482160.17, 2.79
-1730482160.07, 2.86
-1730482159.96, 2.87
-1730482159.86, 2.90
-1730482159.76, 2.94
-1730482159.66, 2.87
-1730482159.55, 5.00
-1730482159.45, 4.13
-1730482159.35, 1.23
-1730482159.22, 1.47
-1730482159.14, 2.71
-1730482159.05, 2.75
-1730482158.95, 2.78
-1730482158.84, 2.79
-1730482158.74, 2.83
-1730482158.65, 2.85
-1730482158.54, 2.86
-1730482158.44, 2.90
-1730482158.34, 2.90
-1730482158.24, 2.82
-1730482158.13, 2.75
-1730482158.03, 2.70
-1730482157.93, 2.69
-1730482157.84, 2.70
-1730482157.73, 2.75
-1730482157.63, 2.77
-1730482157.53, 2.79
-1730482157.43, 2.81
-1730482157.32, 2.83
-1730482157.23, 2.85
-1730482157.13, 2.87
-1730482157.02, 2.90
-1730482156.91, 2.83
-1730482156.81, 2.78
-1730482156.71, 2.73
-1730482156.62, 2.71
-1730482156.52, 2.70
-1730482156.41, 2.73
-1730482156.31, 2.76
-1730482156.21, 2.78
-1730482156.11, 2.80
-1730482156.01, 2.83
-1730482155.91, 2.84
-1730482155.80, 2.86
-1730482155.71, 2.88
-1730482155.61, 2.85
-1730482155.51, 2.81
-1730482155.40, 2.74
-1730482155.30, 2.72
-1730482155.19, 2.71
-1730482155.10, 2.71
-1730482155.00, 2.76
-1730482154.89, 2.78
-1730482154.79, 2.78
-1730482154.69, 2.82
-1730482154.59, 2.83
-1730482154.49, 2.84
-1730482154.39, 2.89
-1730482154.29, 2.88
-1730482154.19, 2.83
-1730482154.09, 2.78
-1730482153.98, 2.72
-1730482153.88, 2.71
-1730482153.78, 2.71
-1730482153.68, 2.74
-1730482153.57, 2.77
-1730482153.47, 2.78
-1730482153.37, 2.80
-1730482153.27, 2.83
-1730482153.17, 2.84
-1730482153.07, 2.87
-1730482152.96, 2.89
-1730482152.87, 2.84
-1730482152.77, 2.80
-1730482152.67, 2.74
-1730482152.57, 2.71
-1730482152.46, 2.71
-1730482152.36, 2.72
-1730482152.26, 2.75
-1730482152.16, 2.78
-1730482152.06, 2.79
-1730482151.96, 2.83
-1730482151.85, 2.84
-1730482151.76, 2.84
-1730482151.65, 2.89
-1730482151.55, 2.88
-1730482151.45, 2.81
-1730482151.34, 2.76
-1730482151.24, 2.71
-1730482151.14, 2.70
-1730482151.04, 2.72
-1730482150.94, 2.75
-1730482150.84, 2.78
-1730482150.71, 2.79
-1730482150.64, 2.82
-1730482150.54, 2.83
-1730482150.44, 2.85
-1730482150.34, 2.88
-1730482150.23, 2.89
-1730482150.13, 2.82
-1730482150.02, 2.78
-1730482149.93, 2.72
-1730482149.82, 2.70
-1730482149.73, 2.70
-1730482149.63, 2.73
-1730482149.52, 2.76
-1730482149.42, 2.78
-1730482149.32, 2.80
-1730482149.22, 2.84
-1730482149.12, 2.86
-1730482149.01, 2.90
-1730482148.91, 2.93
-1730482148.82, 2.87
-1730482148.71, 2.80
-1730482148.61, 2.71
-1730482148.51, 2.67
-1730482148.41, 2.65
-1730482148.31, 2.66
-1730482148.21, 2.74
-1730482148.10, 2.78
-1730482148.01, 2.78
-1730482147.90, 2.87
-1730482147.80, 2.84
-1730482147.70, 2.86
-1730482147.60, 2.89
-1730482147.49, 2.86
-1730482147.39, 2.80
-1730482147.29, 2.74
-1730482147.20, 2.70
-1730482147.09, 2.70
-1730482146.99, 2.71
-1730482146.89, 2.76
-1730482146.79, 2.77
-1730482146.69, 2.80
-1730482146.58, 2.82
-1730482146.49, 4.12
-1730482146.38, 2.89
-1730482146.28, 2.95
-1730482146.18, 3.13
-1730482146.08, 2.94
-1730482145.97, 2.71
-1730482145.88, 2.67
-1730482145.77, 2.75
-1730482145.67, 2.78
-1730482145.57, 2.78
-1730482145.47, 2.73
-1730482145.37, 3.00
-1730482145.26, 2.69
-1730482145.16, 2.93
-1730482145.06, 2.84
-1730482144.97, 2.92
-1730482144.86, 3.01
-1730482144.76, 2.85
-1730482144.66, 2.80
-1730482144.56, 2.53
-1730482144.46, 2.68
-1730482144.36, 2.74
-1730482144.26, 2.72
-1730482144.15, 2.84
-1730482144.05, 2.75
-1730482143.95, 2.78
-1730482143.85, 2.80
-1730482143.75, 2.85
-1730482143.65, 2.87
-1730482143.54, 2.86
-1730482143.44, 2.73
-1730482143.34, 2.61
-1730482143.24, 2.72
-1730482143.14, 2.73
-1730482143.04, 2.67
-1730482142.94, 2.79
-1730482142.83, 2.76
-1730482142.73, 2.57
-1730482142.63, 2.84
-1730482142.53, 2.85
-1730482142.43, 2.80
-1730482142.33, 2.86
-1730482142.23, 2.97
-1730482142.12, 2.96
-1730482142.03, 2.60
-1730482141.92, 2.61
-1730482141.82, 2.65
-1730482141.72, 2.70
-1730482141.61, 2.67
-1730482141.52, 2.83
-1730482141.41, 2.78
-1730482141.31, 2.80
-1730482141.21, 2.88
-1730482141.11, 2.79
-1730482141.01, 2.86
-1730482140.91, 2.95
-1730482140.80, 2.72
-1730482140.71, 2.72
-1730482140.60, 2.81
-1730482140.50, 2.79
-1730482140.40, 2.71
-1730482140.30, 2.67
-1730482140.20, 2.92
-1730482140.09, 2.62
-1730482140.00, 2.98
-1730482139.89, 2.72
-1730482139.79, 2.88
-1730482139.69, 2.86
-1730482139.59, 2.88
-1730482139.49, 2.96
-1730482139.39, 2.82
-1730482139.29, 2.67
-1730482139.18, 2.58
-1730482139.08, 2.70
-1730482138.98, 2.76
-1730482138.88, 2.92
-1730482138.78, 2.93
-1730482138.68, 2.68
-1730482138.58, 2.94
-1730482138.48, 2.86
-1730482138.37, 2.86
-1730482138.28, 2.92
-1730482138.17, 2.88
-1730482138.07, 2.69
-1730482137.97, 3.06
-1730482137.87, 2.70
-1730482137.76, 0.00
-1730482137.67, 0.00
-1730482137.57, 0.18
