Sensor Name: uyu
Initial Resistance: 90 ohms
Start Time: 2024-11-02 00:02:07
Time (s), Voltage (V)
-1730482187.61, 2.52
-1730482187.52, 2.52
-1730482187.41, 2.52
-1730482187.32, 2.51
-1730482187.21, 2.51
-1730482187.11, 2.50
-1730482187.01, 2.50
-1730482186.91, 2.50
-1730482186.81, 2.50
-1730482186.71, 2.50
-1730482186.61, 2.51
-1730482186.50, 2.51
-1730482186.40, 2.52
-1730482186.30, 2.52
-1730482186.19, 2.52
-1730482186.10, 2.52
-1730482186.00, 2.52
-1730482185.90, 2.51
-1730482185.80, 2.50
-1730482185.69, 2.50
-1730482185.59, 2.49
-1730482185.49, 2.51
-1730482185.39, 2.50
-1730482185.29, 2.49
-1730482185.18, 2.51
-1730482185.09, 2.51
-1730482184.99, 2.50
-1730482184.88, 2.52
-1730482184.78, 2.52
-1730482184.67, 2.50
-1730482184.57, 2.51
-1730482184.48, 2.50
-1730482184.38, 2.49
-1730482184.27, 2.50
-1730482184.17, 2.49
-1730482184.07, 2.50
-1730482183.97, 2.49
-1730482183.87, 2.50
-1730482183.76, 2.50
-1730482183.67, 2.51
-1730482183.56, 2.51
-1730482183.46, 2.51
-1730482183.36, 2.51
-1730482183.26, 2.50
-1730482183.16, 2.49
-1730482183.05, 2.49
-1730482182.95, 2.49
-1730482182.86, 2.49
-1730482182.75, 2.49
-1730482182.66, 2.48
-1730482182.55, 2.49
-1730482182.45, 2.49
-1730482182.34, 2.50
-1730482182.24, 2.50
-1730482182.14, 2.50
-1730482182.04, 2.51
-1730482181.94, 2.50
-1730482181.84, 2.49
-1730482181.74, 2.49
-1730482181.64, 2.49
-1730482181.54, 2.48
-1730482181.44, 2.48
-1730482181.31, 2.48
-1730482181.23, 2.48
-1730482181.13, 2.49
-1730482181.03, 2.49
-1730482180.93, 2.50
-1730482180.83, 2.50
-1730482180.73, 2.50
-1730482180.62, 2.50
-1730482180.53, 2.49
-1730482180.42, 2.49
-1730482180.32, 2.48
-1730482180.22, 2.48
-1730482180.12, 2.48
-1730482180.02, 2.48
-1730482179.92, 2.48
-1730482179.82, 2.48
-1730482179.72, 2.48
-1730482179.61, 2.59
-1730482179.51, 2.51
-1730482179.41, 2.51
-1730482179.31, 2.50
-1730482179.21, 2.49
-1730482179.10, 2.49
-1730482179.00, 2.48
-1730482178.90, 2.47
-1730482178.80, 2.48
-1730482178.70, 2.47
-1730482178.60, 2.47
-1730482178.50, 2.48
-1730482178.40, 2.50
-1730482178.29, 2.48
-1730482178.19, 2.50
-1730482178.09, 2.51
-1730482177.99, 2.49
-1730482177.89, 3.46
-1730482177.78, 2.66
-1730482177.69, 2.52
-1730482177.59, 2.49
-1730482177.48, 2.49
-1730482177.38, 2.47
-1730482177.28, 2.48
-1730482177.18, 2.48
-1730482177.08, 2.48
-1730482176.98, 2.48
-1730482176.88, 2.48
-1730482176.77, 2.49
-1730482176.67, 2.49
-1730482176.57, 2.49
-1730482176.47, 2.49
-1730482176.37, 2.48
-1730482176.27, 2.48
-1730482176.17, 2.47
-1730482176.06, 2.47
-1730482175.96, 2.47
-1730482175.86, 2.47
-1730482175.76, 2.47
-1730482175.66, 2.48
-1730482175.55, 2.48
-1730482175.46, 2.47
-1730482175.36, 2.49
-1730482175.25, 2.49
-1730482175.15, 2.47
-1730482175.05, 2.47
-1730482174.95, 2.47
-1730482174.85, 2.46
-1730482174.75, 2.47
-1730482174.65, 2.46
-1730482174.54, 2.47
-1730482174.45, 2.46
-1730482174.34, 2.47
-1730482174.24, 2.46
-1730482174.14, 2.48
-1730482174.04, 2.47
-1730482173.93, 2.48
-1730482173.84, 2.48
-1730482173.73, 2.48
-1730482173.63, 2.47
-1730482173.53, 2.46
-1730482173.43, 2.46
-1730482173.32, 2.46
-1730482173.23, 2.46
-1730482173.12, 2.46
-1730482173.02, 2.46
-1730482172.92, 2.47
-1730482172.82, 2.46
-1730482172.72, 2.47
-1730482172.62, 2.48
-1730482172.52, 2.48
-1730482172.42, 2.47
-1730482172.32, 2.47
-1730482172.22, 2.47
-1730482172.11, 2.46
-1730482172.01, 2.45
-1730482171.91, 2.45
-1730482171.79, 2.45
-1730482171.71, 2.45
-1730482171.60, 2.46
-1730482171.50, 2.45
-1730482171.40, 2.47
-1730482171.30, 2.46
-1730482171.20, 2.47
-1730482171.10, 2.47
-1730482170.99, 2.47
-1730482170.89, 2.50
-1730482170.79, 2.50
-1730482170.69, 2.45
-1730482170.59, 2.45
-1730482170.49, 2.44
-1730482170.39, 2.44
-1730482170.29, 2.44
-1730482170.19, 2.45
-1730482170.09, 2.45
-1730482169.98, 2.46
-1730482169.89, 2.46
-1730482169.78, 2.47
-1730482169.67, 2.46
-1730482169.58, 2.45
-1730482169.48, 2.46
-1730482169.38, 2.45
-1730482169.27, 2.43
-1730482169.17, 2.44
-1730482169.07, 2.44
-1730482168.97, 2.44
-1730482168.87, 2.44
-1730482168.77, 2.44
-1730482168.67, 2.45
-1730482168.56, 2.46
-1730482168.46, 2.46
-1730482168.36, 2.46
-1730482168.26, 2.47
-1730482168.16, 2.45
-1730482168.05, 2.45
-1730482167.96, 2.44
-1730482167.85, 2.44
-1730482167.75, 2.43
-1730482167.65, 2.44
-1730482167.55, 2.44
-1730482167.45, 2.44
-1730482167.35, 2.44
-1730482167.24, 2.45
-1730482167.14, 2.46
-1730482167.04, 2.46
-1730482166.94, 2.48
-1730482166.84, 2.58
-1730482166.74, 2.65
-1730482166.64, 2.70
-1730482166.54, 2.70
-1730482166.43, 2.69
-1730482166.33, 2.71
-1730482166.23, 2.71
-1730482166.13, 2.70
-1730482166.03, 2.72
-1730482165.93, 2.73
-1730482165.83, 2.73
-1730482165.73, 2.73
-1730482165.63, 2.73
-1730482165.53, 2.72
-1730482165.43, 2.72
-1730482165.32, 2.72
-1730482165.22, 2.70
-1730482165.12, 2.71
-1730482165.01, 2.70
-1730482164.91, 2.71
-1730482164.82, 2.70
-1730482164.71, 2.72
-1730482164.62, 2.71
-1730482164.51, 2.72
-1730482164.41, 2.73
-1730482164.31, 2.74
-1730482164.21, 2.74
-1730482164.10, 2.74
-1730482164.01, 2.73
-1730482163.90, 2.72
-1730482163.80, 2.71
-1730482163.70, 2.72
-1730482163.60, 2.71
-1730482163.50, 2.72
-1730482163.40, 2.72
-1730482163.29, 2.72
-1730482163.19, 2.73
-1730482163.09, 2.74
-1730482162.99, 2.74
-1730482162.89, 2.75
-1730482162.79, 2.75
-1730482162.68, 2.74
-1730482162.59, 2.74
-1730482162.48, 2.73
-1730482162.38, 2.73
-1730482162.28, 2.73
-1730482162.15, 2.73
-1730482162.08, 2.73
-1730482161.98, 2.74
-1730482161.87, 2.73
-1730482161.77, 2.75
-1730482161.67, 2.75
-1730482161.57, 2.76
-1730482161.47, 2.75
-1730482161.37, 2.75
-1730482161.26, 2.74
-1730482161.17, 2.74
-1730482161.06, 2.74
-1730482160.96, 2.74
-1730482160.86, 2.73
-1730482160.76, 2.74
-1730482160.66, 2.74
-1730482160.55, 2.75
-1730482160.46, 2.75
-1730482160.35, 2.76
-1730482160.25, 2.76
-1730482160.15, 2.76
-1730482160.05, 2.77
-1730482159.95, 2.76
-1730482159.85, 2.75
-1730482159.75, 2.75
-1730482159.65, 2.75
-1730482159.55, 2.74
-1730482159.45, 2.74
-1730482159.34, 2.74
-1730482159.24, 2.75
-1730482159.13, 2.75
-1730482159.04, 2.76
-1730482158.93, 2.76
-1730482158.84, 2.77
-1730482158.74, 2.76
-1730482158.64, 2.76
-1730482158.53, 2.75
-1730482158.43, 2.76
-1730482158.33, 2.74
-1730482158.23, 2.75
-1730482158.13, 2.75
-1730482158.02, 2.75
-1730482157.93, 2.75
-1730482157.82, 2.76
-1730482157.72, 2.76
-1730482157.62, 2.77
-1730482157.52, 2.77
-1730482157.42, 2.78
-1730482157.31, 2.77
-1730482157.22, 2.76
-1730482157.11, 2.76
-1730482157.01, 2.75
-1730482156.91, 2.75
-1730482156.81, 2.76
-1730482156.70, 2.75
-1730482156.60, 2.75
-1730482156.50, 2.77
-1730482156.40, 2.77
-1730482156.30, 2.76
-1730482156.20, 2.77
-1730482156.10, 2.78
-1730482156.00, 2.76
-1730482155.90, 2.77
-1730482155.79, 2.75
-1730482155.69, 2.76
-1730482155.59, 2.75
-1730482155.49, 2.76
-1730482155.39, 2.75
-1730482155.29, 2.76
-1730482155.19, 2.76
-1730482155.08, 2.77
-1730482154.98, 2.77
-1730482154.88, 2.78
-1730482154.78, 2.78
-1730482154.68, 2.78
-1730482154.58, 2.77
-1730482154.47, 2.77
-1730482154.37, 2.76
-1730482154.27, 2.77
-1730482154.17, 2.76
-1730482154.08, 2.76
-1730482153.97, 2.76
-1730482153.87, 2.76
-1730482153.77, 2.77
-1730482153.67, 2.78
-1730482153.56, 2.78
-1730482153.46, 2.78
-1730482153.36, 2.79
-1730482153.26, 2.78
-1730482153.16, 2.76
-1730482153.06, 2.76
-1730482152.95, 2.76
-1730482152.85, 2.75
-1730482152.76, 2.77
-1730482152.65, 2.76
-1730482152.55, 2.77
-1730482152.45, 2.77
-1730482152.35, 2.78
-1730482152.25, 2.78
-1730482152.15, 2.79
-1730482152.04, 2.79
-1730482151.94, 2.78
-1730482151.84, 2.77
-1730482151.74, 2.77
-1730482151.64, 2.76
-1730482151.54, 2.77
-1730482151.44, 2.76
-1730482151.34, 2.77
-1730482151.23, 2.77
-1730482151.13, 2.77
-1730482151.03, 2.78
-1730482150.93, 2.78
-1730482150.83, 2.79
-1730482150.73, 2.79
-1730482150.63, 2.78
-1730482150.52, 2.78
-1730482150.42, 2.78
-1730482150.32, 2.77
-1730482150.22, 2.77
-1730482150.12, 2.77
-1730482150.02, 2.76
-1730482149.91, 2.77
-1730482149.81, 2.78
-1730482149.71, 2.78
-1730482149.61, 2.78
-1730482149.51, 2.79
-1730482149.41, 2.79
-1730482149.30, 2.80
-1730482149.20, 2.78
-1730482149.11, 2.79
-1730482149.01, 2.77
-1730482148.90, 2.77
-1730482148.81, 2.77
-1730482148.70, 2.77
-1730482148.60, 2.77
-1730482148.50, 2.78
-1730482148.40, 2.78
-1730482148.30, 2.79
-1730482148.19, 2.79
-1730482148.09, 2.80
-1730482147.99, 2.79
-1730482147.89, 2.79
-1730482147.79, 2.79
-1730482147.69, 2.78
-1730482147.58, 2.77
-1730482147.49, 2.78
-1730482147.39, 2.77
-1730482147.28, 2.78
-1730482147.18, 2.79
-1730482147.08, 2.78
-1730482146.98, 2.78
-1730482146.87, 2.79
-1730482146.77, 2.80
-1730482146.67, 2.79
-1730482146.58, 2.80
-1730482146.47, 2.79
-1730482146.37, 2.79
-1730482146.27, 2.78
-1730482146.16, 2.77
-1730482146.06, 2.79
-1730482145.96, 2.78
-1730482145.86, 2.78
-1730482145.76, 2.78
-1730482145.66, 2.79
-1730482145.56, 2.79
-1730482145.46, 2.80
-1730482145.35, 2.80
-1730482145.26, 2.80
-1730482145.15, 2.80
-1730482145.05, 2.79
-1730482144.95, 2.79
-1730482144.84, 2.79
-1730482144.74, 2.78
-1730482144.65, 2.78
-1730482144.55, 2.79
-1730482144.44, 2.78
-1730482144.34, 2.79
-1730482144.24, 2.80
-1730482144.14, 2.79
-1730482144.04, 2.80
-1730482143.94, 2.81
-1730482143.84, 2.80
-1730482143.73, 2.79
-1730482143.63, 2.79
-1730482143.53, 2.79
-1730482143.43, 2.78
-1730482143.33, 2.79
-1730482143.22, 2.78
-1730482143.13, 2.79
-1730482143.03, 2.79
-1730482142.92, 2.79
-1730482142.82, 2.80
-1730482142.72, 2.80
-1730482142.62, 2.81
-1730482142.52, 2.80
-1730482142.42, 2.80
-1730482142.31, 2.79
-1730482142.21, 2.79
-1730482142.11, 2.78
-1730482142.01, 2.79
-1730482141.91, 2.78
-1730482141.80, 2.79
-1730482141.71, 2.79
-1730482141.60, 2.80
-1730482141.50, 2.80
-1730482141.40, 2.80
-1730482141.30, 2.82
-1730482141.20, 2.81
-1730482141.10, 2.80
-1730482141.00, 2.81
-1730482140.89, 2.80
-1730482140.79, 2.78
-1730482140.69, 2.79
-1730482140.59, 2.79
-1730482140.49, 2.78
-1730482140.39, 2.79
-1730482140.28, 2.80
-1730482140.19, 2.79
-1730482140.08, 2.81
-1730482139.98, 2.81
-1730482139.88, 2.81
-1730482139.78, 2.80
-1730482139.68, 2.80
-1730482139.58, 2.80
-1730482139.47, 2.79
-1730482139.37, 2.79
-1730482139.27, 2.79
-1730482139.17, 2.79
-1730482139.07, 2.79
-1730482138.97, 2.79
-1730482138.87, 2.80
-1730482138.77, 2.80
-1730482138.67, 2.81
-1730482138.56, 2.81
-1730482138.46, 2.81
-1730482138.36, 2.82
-1730482138.26, 2.80
-1730482138.16, 2.80
-1730482138.05, 2.80
-1730482137.96, 2.79
-1730482137.85, 2.79
-1730482137.75, 2.80
-1730482137.65, 2.79
-1730482137.55, 2.79
-1730482137.45, 2.81
-1730482137.35, 2.81
-1730482137.25, 2.81
-1730482137.14, 2.82
-1730482137.04, 2.82
-1730482136.95, 2.80
-1730482136.84, 2.80
-1730482136.74, 2.79
-1730482136.64, 2.79
-1730482136.53, 2.79
-1730482136.43, 2.80
-1730482136.34, 2.79
-1730482136.24, 2.80
-1730482136.13, 2.80
-1730482136.03, 2.81
-1730482135.93, 2.81
-1730482135.82, 2.82
-1730482135.73, 2.81
-1730482135.62, 2.81
-1730482135.52, 2.80
-1730482135.42, 2.80
-1730482135.32, 2.80
-1730482135.22, 2.79
-1730482135.12, 2.80
-1730482135.02, 2.80
-1730482134.91, 2.79
-1730482134.82, 2.80
-1730482134.72, 2.81
-1730482134.62, 2.80
-1730482134.51, 2.81
-1730482134.41, 2.82
-1730482134.30, 2.82
-1730482134.21, 2.80
-1730482134.11, 2.81
-1730482134.01, 2.80
-1730482133.90, 2.79
-1730482133.79, 2.80
-1730482133.69, 2.79
-1730482133.60, 2.80
-1730482133.49, 2.80
-1730482133.40, 2.81
-1730482133.29, 2.80
-1730482133.19, 2.82
-1730482133.09, 2.82
-1730482132.99, 2.82
-1730482132.89, 2.81
-1730482132.79, 2.81
-1730482132.69, 2.80
-1730482132.59, 2.80
-1730482132.49, 2.80
-1730482132.38, 2.80
-1730482132.29, 2.80
-1730482132.18, 2.80
-1730482132.08, 2.81
-1730482131.98, 2.81
-1730482131.87, 2.81
-1730482131.77, 2.82
-1730482131.68, 2.81
-1730482131.57, 2.82
-1730482131.47, 2.81
-1730482131.37, 2.80
-1730482131.27, 2.80
-1730482131.16, 2.80
-1730482131.06, 2.80
-1730482130.97, 2.79
-1730482130.86, 2.81
-1730482130.76, 2.81
-1730482130.65, 2.81
-1730482130.56, 2.81
-1730482130.46, 2.82
-1730482130.35, 2.83
-1730482130.26, 2.81
-1730482130.15, 2.82
-1730482130.05, 2.80
-1730482129.95, 2.81
-1730482129.85, 2.80
-1730482129.75, 2.80
-1730482129.65, 2.80
-1730482129.54, 2.80
-1730482129.44, 2.80
-1730482129.35, 2.81
-1730482129.24, 2.81
-1730482129.14, 2.82
-1730482129.04, 2.82
-1730482128.94, 2.81
-1730482128.84, 2.82
-1730482128.73, 2.81
-1730482128.63, 2.80
-1730482128.53, 2.80
-1730482128.43, 2.79
-1730482128.33, 2.79
-1730482128.23, 2.80
-1730482128.13, 2.80
-1730482128.03, 2.80
-1730482127.93, 2.81
-1730482127.82, 2.82
-1730482127.72, 2.81
-1730482127.62, 2.83
-1730482127.52, 2.82
-1730482127.42, 2.81
-1730482127.31, 2.81
-1730482127.21, 2.79
-1730482127.11, 2.80
-1730482127.01, 2.79
-1730482126.91, 2.80
-1730482126.81, 2.80
-1730482126.71, 2.81
-1730482126.60, 2.81
-1730482126.50, 2.81
-1730482126.41, 2.82
-1730482126.30, 5.00
-1730482126.19, 5.00
-1730482126.10, 4.73
-1730482125.99, 0.00
-1730482125.90, 0.00
-1730482125.80, 0.00
-1730482125.70, 0.00
-1730482125.58, 0.00
-1730482125.49, 0.00
-1730482125.39, 0.00
-1730482125.29, 0.00
-1730482125.18, 0.00
-1730482125.08, 2.47
-1730482124.98, 2.69
-1730482124.89, 2.74
-1730482124.78, 2.74
-1730482124.68, 2.76
-1730482124.57, 2.76
-1730482124.47, 2.75
-1730482124.38, 2.77
-1730482124.27, 2.76
-1730482124.17, 2.77
-1730482124.07, 2.77
-1730482123.97, 2.78
-1730482123.87, 2.78
-1730482123.77, 2.79
-1730482123.67, 2.80
-1730482123.56, 2.79
-1730482123.46, 2.80
-1730482123.36, 2.80
-1730482123.26, 2.79
-1730482123.16, 2.79
-1730482123.06, 2.78
-1730482122.96, 2.78
-1730482122.85, 2.79
-1730482122.75, 2.78
-1730482122.66, 2.80
-1730482122.55, 2.79
-1730482122.46, 2.79
-1730482122.34, 2.81
-1730482122.24, 2.81
-1730482122.14, 2.80
-1730482122.05, 2.81
-1730482121.94, 2.81
-1730482121.84, 2.79
-1730482121.75, 2.79
-1730482121.64, 2.79
-1730482121.54, 2.78
-1730482121.44, 2.79
-1730482121.33, 2.79
-1730482121.24, 2.79
-1730482121.13, 2.80
-1730482121.03, 2.80
-1730482120.93, 2.80
-1730482120.83, 2.81
-1730482120.72, 2.81
-1730482120.63, 2.80
-1730482120.53, 2.79
-1730482120.42, 2.79
-1730482120.32, 2.79
-1730482120.22, 2.79
-1730482120.12, 2.79
-1730482120.01, 2.79
-1730482119.92, 2.80
-1730482119.82, 2.80
-1730482119.72, 2.80
-1730482119.61, 2.81
-1730482119.51, 2.81
-1730482119.41, 2.81
-1730482119.30, 2.81
-1730482119.21, 2.80
-1730482119.10, 2.80
-1730482119.00, 2.80
-1730482118.90, 2.78
-1730482118.80, 2.79
-1730482118.70, 2.80
-1730482118.60, 2.79
-1730482118.49, 2.79
-1730482118.40, 2.80
-1730482118.29, 2.80
-1730482118.19, 2.81
-1730482118.08, 2.82
-1730482117.99, 2.80
-1730482117.89, 2.81
-1730482117.79, 2.80
-1730482117.69, 2.79
-1730482117.55, 2.79
-1730482117.49, 2.78
-1730482117.38, 2.79
-1730482117.28, 2.79
-1730482117.18, 2.79
-1730482117.08, 2.80
-1730482116.98, 2.80
-1730482116.87, 2.81
-1730482116.77, 2.81
-1730482116.68, 2.81
-1730482116.58, 2.81
-1730482116.47, 2.80
-1730482116.36, 2.80
-1730482116.26, 2.79
-1730482116.17, 2.79
-1730482116.07, 2.79
-1730482115.96, 2.78
-1730482115.86, 2.80
-1730482115.77, 2.80
-1730482115.66, 2.79
-1730482115.56, 2.81
-1730482115.46, 2.81
-1730482115.35, 2.80
-1730482115.25, 2.81
-1730482115.15, 2.81
-1730482115.06, 2.79
-1730482114.96, 2.79
-1730482114.85, 2.79
-1730482114.75, 2.78
-1730482114.65, 2.80
-1730482114.54, 2.79
-1730482114.45, 2.80
-1730482114.34, 2.79
-1730482114.24, 2.80
-1730482114.14, 2.81
-1730482114.04, 2.82
-1730482113.94, 2.81
-1730482113.84, 2.81
-1730482113.74, 2.80
-1730482113.64, 2.80
-1730482113.53, 2.79
-1730482113.43, 2.79
-1730482113.33, 2.79
-1730482113.23, 2.80
-1730482113.13, 2.79
-1730482113.03, 2.79
-1730482112.93, 2.81
-1730482112.83, 2.80
-1730482112.72, 2.80
-1730482112.62, 2.82
-1730482112.52, 2.81
-1730482112.41, 2.80
-1730482112.32, 2.80
-1730482112.22, 2.79
-1730482112.11, 2.78
-1730482112.01, 2.79
-1730482111.91, 2.79
-1730482111.81, 2.78
-1730482111.71, 2.80
-1730482111.61, 2.80
-1730482111.51, 2.81
-1730482111.40, 2.81
-1730482111.30, 2.81
-1730482111.20, 2.82
-1730482111.10, 2.80
-1730482111.00, 2.80
-1730482110.90, 2.79
-1730482110.80, 2.79
-1730482110.70, 2.78
-1730482110.60, 2.79
-1730482110.49, 2.79
-1730482110.39, 2.80
-1730482110.29, 2.82
-1730482110.19, 2.80
-1730482110.09, 2.81
-1730482109.98, 2.81
-1730482109.88, 2.81
-1730482109.78, 2.82
-1730482109.68, 2.81
-1730482109.58, 2.79
-1730482109.48, 2.80
-1730482109.38, 2.80
-1730482109.28, 2.78
-1730482109.18, 2.79
-1730482109.07, 2.79
-1730482108.98, 2.79
-1730482108.87, 2.80
-1730482108.77, 2.81
-1730482108.66, 2.81
-1730482108.57, 2.82
-1730482108.47, 2.82
-1730482108.37, 2.81
-1730482108.26, 2.81
-1730482108.16, 2.79
-1730482108.06, 2.79
-1730482107.96, 2.78
-1730482107.86, 2.79
-1730482107.75, 2.78
-1730482107.66, 2.79
-1730482107.56, 2.80
-1730482107.45, 2.80
-1730482107.35, 2.81
-1730482107.25, 2.81
-1730482107.15, 2.82
-1730482107.05, 2.81
-1730482106.94, 2.80
-1730482106.84, 2.80
-1730482106.74, 2.79
-1730482106.64, 2.79
-1730482106.54, 2.80
-1730482106.43, 2.79
-1730482106.34, 2.79
-1730482106.23, 2.80
-1730482106.13, 2.80
-1730482106.04, 2.81
-1730482105.93, 2.81
-1730482105.84, 2.82
-1730482105.73, 2.81
-1730482105.63, 2.81
-1730482105.53, 2.80
-1730482105.42, 2.79
-1730482105.32, 2.80
-1730482105.22, 2.79
-1730482105.12, 2.79
-1730482105.02, 2.79
-1730482104.92, 2.79
-1730482104.82, 2.80
-1730482104.72, 2.80
-1730482104.61, 2.81
-1730482104.51, 2.83
-1730482104.41, 2.82
-1730482104.31, 2.81
-1730482104.21, 2.81
-1730482104.11, 2.80
-1730482104.00, 2.80
-1730482103.91, 2.79
-1730482103.80, 2.79
-1730482103.70, 2.79
-1730482103.60, 2.79
-1730482103.50, 2.79
-1730482103.40, 2.81
-1730482103.30, 2.80
-1730482103.20, 2.81
-1730482103.10, 2.82
-1730482103.00, 2.82
-1730482102.89, 2.80
-1730482102.78, 2.80
-1730482102.69, 2.80
-1730482102.59, 2.79
-1730482102.49, 2.79
-1730482102.39, 2.80
-1730482102.29, 2.79
-1730482102.18, 2.80
-1730482102.08, 2.80
-1730482101.98, 2.80
-1730482101.88, 2.81
-1730482101.78, 2.81
-1730482101.68, 2.82
-1730482101.58, 2.81
-1730482101.47, 2.81
-1730482101.37, 2.80
-1730482101.27, 2.79
-1730482101.17, 2.79
-1730482101.07, 2.79
-1730482100.97, 2.79
-1730482100.86, 2.79
-1730482100.77, 2.80
-1730482100.67, 2.80
-1730482100.56, 2.81
-1730482100.46, 2.81
-1730482100.36, 2.81
-1730482100.25, 2.82
-1730482100.16, 2.81
-1730482100.05, 2.80
-1730482099.96, 2.80
-1730482099.85, 2.80
-1730482099.75, 2.78
-1730482099.65, 2.79
-1730482099.55, 2.80
-1730482099.45, 2.80
-1730482099.35, 2.80
-1730482099.25, 2.80
-1730482099.14, 2.80
-1730482099.04, 2.82
-1730482098.94, 2.81
-1730482098.82, 2.81
-1730482098.74, 2.83
-1730482098.64, 2.79
-1730482098.53, 2.80
-1730482098.44, 2.79
-1730482098.34, 2.79
-1730482098.23, 3.02
-1730482098.13, 2.82
-1730482098.03, 2.84
-1730482097.93, 2.83
-1730482097.82, 2.82
-1730482097.72, 2.88
-1730482097.62, 2.87
-1730482097.52, 2.84
-1730482097.42, 2.83
-1730482097.32, 2.80
-1730482097.21, 2.79
-1730482097.11, 2.80
-1730482097.02, 2.79
-1730482096.91, 2.78
-1730482096.81, 2.80
-1730482096.71, 2.80
-1730482096.60, 2.79
-1730482096.51, 2.81
-1730482096.40, 2.82
-1730482096.31, 2.81
-1730482096.21, 2.82
-1730482096.10, 2.81
-1730482096.00, 2.80
-1730482095.90, 2.80
-1730482095.80, 2.79
-1730482095.69, 2.79
-1730482095.59, 2.79
-1730482095.50, 2.79
-1730482095.39, 2.80
-1730482095.29, 2.80
-1730482095.19, 2.80
-1730482095.09, 2.81
-1730482094.99, 2.81
-1730482094.89, 2.81
-1730482094.78, 2.81
-1730482094.68, 2.80
-1730482094.58, 2.80
-1730482094.48, 2.79
-1730482094.38, 2.79
-1730482094.28, 2.79
-1730482094.17, 2.79
-1730482094.08, 2.80
-1730482093.98, 2.80
-1730482093.88, 2.80
-1730482093.77, 2.81
-1730482093.66, 2.82
-1730482093.57, 2.81
-1730482093.46, 2.81
-1730482093.37, 2.80
-1730482093.26, 2.80
-1730482093.16, 2.79
-1730482093.06, 2.79
-1730482092.96, 2.79
-1730482092.86, 2.79
-1730482092.76, 2.80
-1730482092.66, 2.79
-1730482092.55, 2.81
-1730482092.46, 2.80
-1730482092.35, 2.81
-1730482092.25, 2.81
-1730482092.15, 2.81
-1730482092.05, 2.80
-1730482091.95, 2.80
-1730482091.85, 2.79
-1730482091.74, 2.80
-1730482091.64, 2.79
-1730482091.54, 2.79
-1730482091.44, 2.79
-1730482091.34, 2.79
-1730482091.24, 2.80
-1730482091.14, 2.80
-1730482091.03, 2.81
-1730482090.93, 2.81
-1730482090.83, 2.80
-1730482090.73, 2.81
-1730482090.63, 2.80
-1730482090.53, 2.79
-1730482090.43, 2.79
-1730482090.32, 2.79
-1730482090.22, 2.78
-1730482090.12, 2.79
-1730482090.02, 2.80
-1730482089.92, 2.80
-1730482089.82, 2.80
-1730482089.72, 2.82
-1730482089.62, 2.81
-1730482089.51, 2.81
-1730482089.41, 2.80
-1730482089.31, 2.80
-1730482089.20, 2.79
-1730482089.11, 2.78
-1730482089.01, 2.79
-1730482088.91, 2.79
-1730482088.80, 2.79
-1730482088.70, 2.79
-1730482088.60, 2.80
-1730482088.50, 2.80
-1730482088.40, 2.81
-1730482088.30, 2.81
-1730482088.19, 2.82
-1730482088.10, 2.80
-1730482087.99, 2.80
-1730482087.89, 2.79
-1730482087.79, 2.79
-1730482087.69, 2.79
-1730482087.59, 2.79
-1730482087.48, 2.79
-1730482087.39, 2.80
-1730482087.28, 2.80
-1730482087.19, 2.80
-1730482087.09, 2.81
-1730482086.98, 2.81
-1730482086.88, 2.81
-1730482086.78, 2.80
-1730482086.68, 2.81
-1730482086.57, 2.79
-1730482086.48, 2.79
-1730482086.38, 2.79
-1730482086.27, 2.78
-1730482086.17, 2.79
-1730482086.07, 2.78
-1730482085.96, 2.80
