Sensor Name: ttx6
Initial Resistance: 80 ohms
Start Time: 2024-11-04 23:02:28
Time (s), Voltage (V)
1.59, 0.3275
1.67, 0.3372
1.88, 0.3421
2.00, 0.3519
2.02, 0.3470
2.03, 0.3519
2.08, 0.3421
2.18, 0.3421
2.31, 0.3372
2.38, 0.3324
2.48, 0.3324
2.58, 0.3324
2.69, 0.3275
2.78, 0.3324
2.93, 0.3275
2.99, 0.3275
3.09, 0.3372
3.19, 0.3372
3.29, 0.3372
3.39, 0.3372
3.49, 0.3421
3.62, 0.3421
3.70, 0.3470
3.80, 0.3470
3.90, 0.3470
4.00, 0.3421
4.11, 0.3372
4.20, 0.3372
4.30, 0.3324
4.41, 0.3275
4.51, 0.3275
4.61, 0.3324
4.71, 0.3275
4.81, 0.3324
4.91, 0.3275
5.02, 0.3324
5.11, 0.3275
5.22, 0.3324
5.32, 0.3324
5.42, 0.3372
5.52, 0.3372
5.62, 0.3421
5.72, 0.3372
5.83, 0.3372
5.93, 0.3372
6.03, 0.3324
6.13, 0.3275
6.23, 0.3275
6.33, 0.3226
6.43, 0.3226
6.53, 0.3177
6.63, 0.3226
6.73, 0.3177
6.83, 0.3226
6.94, 0.3226
7.04, 0.3226
7.14, 0.3226
7.24, 0.3275
7.35, 0.3275
7.45, 0.3324
7.55, 0.3324
7.65, 0.3324
7.76, 0.3324
7.85, 0.3275
7.95, 0.3226
8.05, 0.3226
8.15, 0.3177
8.26, 0.3177
8.35, 0.3177
8.46, 0.3128
8.56, 0.3128
8.66, 0.3128
8.76, 0.3128
8.86, 0.3177
8.96, 0.3226
9.06, 0.3226
9.16, 0.3226
9.27, 0.3275
9.37, 0.3275
9.47, 0.3324
9.57, 0.3275
9.67, 0.3275
9.78, 0.3226
9.87, 0.3226
9.98, 0.3177
10.08, 0.3177
10.18, 0.3177
10.28, 0.3128
10.38, 0.3128
10.48, 0.3128
10.58, 0.3079
10.68, 0.3128
10.79, 0.3177
10.89, 0.3177
10.99, 0.3177
11.09, 0.3226
11.19, 0.3226
11.29, 0.3275
11.39, 0.3275
11.49, 0.3275
11.60, 0.3226
11.70, 0.3275
11.80, 0.3177
11.90, 0.3177
12.00, 0.3128
12.10, 0.3128
12.21, 0.3079
12.31, 0.3128
12.41, 0.3128
12.51, 0.3128
12.61, 0.3128
12.71, 0.3177
12.81, 0.3128
12.91, 0.3226
13.02, 0.3177
13.12, 0.3275
13.22, 0.3275
13.32, 0.3275
13.42, 0.3275
13.52, 0.3275
13.63, 0.3275
13.73, 0.3226
13.82, 0.3177
13.93, 0.3128
14.03, 0.3079
14.13, 0.3128
14.23, 0.3079
14.33, 0.3128
14.43, 0.3079
14.53, 0.3128
14.63, 0.3128
14.74, 0.3128
14.84, 0.3177
14.94, 0.3177
15.04, 0.3226
15.14, 0.3226
15.25, 0.3275
15.35, 0.3275
15.45, 0.3275
15.55, 0.3226
15.65, 0.3226
15.75, 0.3177
15.85, 0.3128
15.95, 0.3128
16.05, 0.3128
16.15, 0.3079
16.25, 0.3079
16.35, 0.3128
16.46, 0.3079
16.56, 0.3128
16.66, 0.3128
16.76, 0.3128
16.86, 0.3177
16.96, 0.3226
17.07, 0.3226
17.17, 0.3275
17.27, 0.3226
17.37, 0.3275
17.47, 0.3226
17.57, 0.3177
17.67, 0.3177
17.77, 0.3128
17.87, 0.3128
17.98, 0.3079
18.08, 0.3128
18.18, 0.3079
18.28, 0.3079
18.39, 0.3079
18.49, 0.3128
18.59, 0.3128
18.68, 0.3128
18.79, 0.3128
18.89, 0.3177
18.99, 0.3226
19.09, 0.3226
19.19, 0.3226
19.29, 0.3226
19.39, 0.3177
19.50, 0.3226
19.60, 0.3177
19.70, 0.3177
19.80, 0.3128
19.90, 0.3079
20.00, 0.3079
20.10, 0.3030
20.20, 0.3030
20.31, 0.3079
20.41, 0.3079
20.51, 0.3079
20.61, 0.3128
20.71, 0.3128
20.82, 0.3177
20.91, 0.3226
21.02, 0.3226
21.12, 0.3177
21.22, 0.3226
21.32, 0.3177
21.42, 0.3177
21.52, 0.3128
21.62, 0.3079
21.73, 0.3079
21.83, 0.3079
21.93, 0.3030
22.03, 0.3030
22.13, 0.3030
22.23, 0.3030
22.33, 0.3030
22.44, 0.3079
22.53, 0.3128
22.63, 0.3079
22.74, 0.3128
22.84, 0.3128
22.94, 0.3177
23.04, 0.3177
23.14, 0.3177
23.25, 0.3128
