Sensor Name: ttx
Initial Resistance: 59 ohms
Start Time: 2024-11-04 23:32:25
Time (s), Voltage (V)
1.48, 0.4741
1.58, 0.4692
1.68, 0.4692
1.78, 0.4692
1.88, 0.4643
1.98, 0.4643
2.09, 0.4692
2.19, 0.4692
2.29, 0.4692
2.39, 0.4692
2.49, 0.4741
2.59, 0.4692
2.69, 0.4741
2.79, 0.4741
2.89, 0.4741
3.00, 0.4741
3.09, 0.4741
3.20, 0.4692
3.30, 0.4692
3.40, 0.4692
3.50, 0.4692
3.61, 0.4643
3.71, 0.4692
3.81, 0.4692
3.91, 0.4692
4.01, 0.4741
4.11, 0.4741
4.21, 0.4741
4.31, 0.4790
4.41, 0.4790
4.51, 0.4790
4.61, 0.4741
4.72, 0.4741
4.82, 0.4692
4.92, 0.4643
5.02, 0.4692
5.13, 0.4643
5.22, 0.4643
5.33, 0.4692
5.43, 0.4692
5.53, 0.4692
5.63, 0.4692
5.73, 0.4692
5.84, 0.4741
5.94, 0.4741
6.04, 0.4741
6.14, 0.4692
6.24, 0.4692
6.34, 0.4692
6.44, 0.4594
6.54, 0.4643
6.64, 0.4643
6.75, 0.4643
6.85, 0.4643
6.95, 0.4643
7.05, 0.4643
7.15, 0.4643
7.25, 0.4692
7.35, 0.4692
7.45, 0.4692
7.55, 0.4692
7.66, 0.4692
7.75, 0.4692
7.86, 0.4741
7.96, 0.4741
8.06, 0.4692
8.16, 0.4643
8.27, 0.4643
8.37, 0.4594
8.47, 0.4643
8.57, 0.4643
8.67, 0.4643
8.77, 0.4643
8.87, 0.4643
8.97, 0.4692
9.08, 0.4692
9.18, 0.4692
9.28, 0.4692
9.38, 0.4692
9.48, 0.4643
9.58, 0.4643
9.68, 0.4643
9.79, 0.4594
9.89, 0.4545
9.99, 0.4594
10.09, 0.4594
10.18, 0.4643
10.29, 0.4594
10.39, 0.4643
10.50, 0.4643
10.59, 0.4741
10.70, 0.4692
10.80, 0.4692
10.89, 0.4692
11.00, 0.4643
11.10, 0.4643
11.20, 0.4594
11.30, 0.4643
11.40, 0.4692
11.51, 0.4692
11.61, 0.4692
11.71, 0.4692
11.81, 0.4692
11.91, 0.4643
12.02, 0.4692
12.11, 0.4741
12.21, 0.4692
12.32, 0.4692
12.42, 0.4643
12.51, 0.4692
12.62, 0.4741
12.72, 0.5034
12.82, 0.5376
12.92, 0.5767
13.02, 0.6061
13.13, 0.6403
13.23, 0.6647
13.33, 0.6794
13.43, 0.6891
13.53, 0.6989
13.63, 0.7038
13.73, 0.7087
13.84, 0.7087
13.93, 0.7136
14.04, 0.7136
14.14, 0.7136
14.24, 0.7087
14.34, 0.7136
14.45, 0.7136
14.55, 0.7136
14.65, 0.7185
14.75, 0.7136
14.85, 0.7185
14.94, 0.7283
15.05, 0.7234
15.15, 0.7234
15.25, 0.7185
15.36, 0.7283
15.46, 0.7136
15.56, 0.7136
15.66, 0.7185
15.76, 0.7087
15.86, 0.7087
15.96, 0.7136
16.07, 0.7087
16.16, 0.7136
16.26, 0.7087
16.37, 0.7087
16.47, 0.7087
16.57, 0.7087
16.67, 0.7136
16.78, 0.7136
16.88, 0.7038
16.98, 0.7136
17.07, 0.7136
17.18, 0.7038
17.28, 0.7087
17.38, 0.7038
17.48, 0.7038
17.58, 0.7038
17.69, 0.7038
17.78, 0.7038
17.89, 0.7038
17.99, 0.7087
18.09, 0.7087
18.19, 0.7087
18.29, 0.7087
18.39, 0.7185
18.50, 0.7136
18.60, 0.7136
18.70, 0.7038
18.80, 0.7038
18.90, 0.6940
19.00, 0.6940
19.10, 0.6940
19.21, 0.6989
19.30, 0.6989
19.40, 0.6989
19.51, 0.6989
19.61, 0.7038
19.71, 0.7038
19.81, 0.7038
19.91, 0.7038
20.01, 0.6989
20.12, 0.6989
20.21, 0.6989
20.32, 0.6940
20.42, 0.6891
20.52, 0.6940
20.62, 0.6940
20.72, 0.6940
20.82, 0.6940
20.93, 0.6989
21.03, 0.6989
21.13, 0.6989
21.23, 0.7038
21.33, 0.6989
21.44, 0.7038
21.54, 0.6989
21.63, 0.6940
21.74, 0.6940
21.84, 0.6940
21.94, 0.6989
22.04, 0.7038
22.14, 0.6940
22.24, 0.6891
22.34, 0.6940
22.45, 0.6891
22.55, 0.6891
22.65, 0.6940
22.75, 0.6940
22.85, 0.6940
22.95, 0.6940
23.06, 0.6940
23.16, 0.6940
23.26, 0.6891
23.36, 0.6940
23.46, 0.6891
23.56, 0.6843
23.66, 0.6891
23.77, 0.6891
23.87, 0.6891
23.97, 0.6843
24.08, 0.6891
24.17, 0.6940
24.27, 0.6940
24.37, 0.6940
24.47, 0.6940
24.58, 0.6940
24.68, 0.6891
24.78, 0.6843
24.88, 0.6843
24.98, 0.6891
25.08, 0.6843
25.19, 0.6843
25.29, 0.6891
25.39, 0.6989
25.49, 0.6940
25.59, 0.6940
25.69, 0.6891
25.79, 0.6940
25.89, 0.6843
25.99, 0.6891
26.09, 0.6843
26.20, 0.6843
26.30, 0.6843
26.40, 0.6843
26.50, 0.6794
26.60, 0.6843
26.70, 0.6843
26.81, 0.6843
26.91, 0.6891
27.01, 0.6843
27.11, 0.6843
27.21, 0.6891
27.31, 0.6891
27.42, 0.6843
27.52, 0.6843
27.61, 0.6843
27.72, 0.6843
27.82, 0.6843
27.92, 0.6794
28.02, 0.6794
28.12, 0.6794
28.22, 0.6794
28.32, 0.6794
28.42, 0.6794
28.53, 0.6843
28.63, 0.6843
28.73, 0.6843
28.83, 0.6843
28.93, 0.6891
29.04, 0.6891
29.13, 0.6794
29.24, 0.6794
29.34, 0.6745
29.44, 0.6696
29.55, 0.6745
29.65, 0.6696
29.74, 0.6745
29.85, 0.6745
29.95, 0.6745
30.05, 0.6794
30.15, 0.6794
30.25, 0.6843
30.35, 0.6843
30.45, 0.6843
30.55, 0.6843
30.66, 0.6745
30.75, 0.6745
30.86, 0.6745
30.96, 0.6696
31.06, 0.6696
31.17, 0.6745
31.26, 0.6745
31.36, 0.6745
31.47, 0.6745
31.57, 0.6745
31.67, 0.6745
31.78, 0.6843
31.87, 0.6794
31.97, 0.6794
32.08, 0.6745
32.18, 0.6745
32.28, 0.6696
32.38, 0.6696
32.48, 0.6794
32.58, 0.6745
32.68, 0.6745
32.79, 0.6696
32.88, 0.6745
32.99, 0.6696
33.09, 0.6745
33.19, 0.6745
33.30, 0.6745
33.39, 0.6794
33.50, 0.6745
33.59, 0.6696
33.69, 0.6745
33.80, 0.6647
33.90, 0.6696
34.00, 0.6647
34.10, 0.6647
34.21, 0.6696
34.31, 0.6647
34.40, 0.6647
34.51, 0.6696
34.61, 0.6696
34.71, 0.6745
34.81, 0.6745
34.91, 0.6696
35.02, 0.6696
35.11, 0.6696
35.21, 0.6696
35.32, 0.6696
35.42, 0.6647
35.52, 0.6696
35.63, 0.6696
35.72, 0.6696
35.83, 0.6696
35.93, 0.6794
36.02, 0.6794
36.13, 0.6745
36.23, 0.6745
36.33, 0.6745
36.43, 0.6696
36.53, 0.6891
36.64, 0.7185
36.74, 0.7478
36.84, 0.7722
36.94, 0.8016
37.04, 0.8211
37.15, 0.8309
37.24, 0.8407
37.34, 0.8456
37.44, 0.8456
37.55, 0.8504
37.65, 0.8602
37.75, 0.8602
37.85, 0.8651
37.96, 0.8602
38.06, 0.8602
38.15, 0.8651
38.25, 0.8651
38.36, 0.8602
38.46, 0.8602
38.56, 0.8651
38.67, 0.8602
38.76, 0.8602
38.86, 0.8602
38.97, 0.8602
39.07, 0.8602
39.17, 0.8651
39.27, 0.8651
39.37, 0.8651
39.48, 0.8749
39.58, 0.8700
39.67, 0.8651
39.78, 0.8602
39.88, 0.8553
39.98, 0.8504
40.08, 0.8504
40.18, 0.8504
40.29, 0.8504
40.38, 0.8504
40.49, 0.8553
40.59, 0.8553
40.69, 0.8553
40.79, 0.8602
40.89, 0.8553
40.99, 0.8553
41.09, 0.8553
41.20, 0.8504
41.30, 0.8504
41.40, 0.8456
41.50, 0.8407
41.60, 0.8456
41.70, 0.8456
41.81, 0.8456
41.90, 0.8456
42.01, 0.8456
42.11, 0.8456
42.21, 0.8456
42.31, 0.8504
42.41, 0.8504
42.51, 0.8456
42.61, 0.8504
42.72, 0.8456
42.84, 0.8407
42.92, 0.8553
43.02, 0.8456
43.12, 0.8456
43.22, 0.8407
43.32, 0.8407
43.42, 0.8358
43.52, 0.8358
43.63, 0.8407
43.73, 0.8407
43.83, 0.8407
43.93, 0.8456
44.04, 0.8456
44.14, 0.8456
44.23, 0.8456
44.34, 0.8407
44.43, 0.8407
44.54, 0.8358
44.64, 0.8358
44.74, 0.8358
44.84, 0.8309
44.94, 0.8309
45.05, 0.8309
45.15, 0.8358
45.25, 0.8358
45.35, 0.8407
45.45, 0.8407
45.55, 0.8407
45.65, 0.8407
45.76, 0.8407
45.85, 0.8358
45.96, 0.8309
46.06, 0.8309
46.16, 0.8309
46.26, 0.8309
46.37, 0.8309
46.47, 0.8358
46.57, 0.8358
46.67, 0.8358
46.77, 0.8358
46.87, 0.8358
46.97, 0.8309
47.07, 0.8358
47.17, 0.8358
47.28, 0.8309
47.38, 0.8309
47.48, 0.8260
47.58, 0.8309
47.68, 0.8211
47.78, 0.8260
47.88, 0.8260
47.98, 0.8260
48.09, 0.8260
48.19, 0.8260
48.29, 0.8309
48.39, 0.8309
48.49, 0.8260
48.59, 0.8309
48.69, 0.8309
48.80, 0.8309
48.90, 0.8309
49.00, 0.8260
49.10, 0.8211
49.20, 0.8260
49.30, 0.8260
49.41, 0.8211
49.51, 0.8260
49.61, 0.8260
49.71, 0.8260
49.81, 0.8260
49.91, 0.8260
50.01, 0.8358
50.11, 0.8309
50.21, 0.8309
50.31, 0.8309
50.41, 0.8211
50.52, 0.8260
50.62, 0.8211
50.72, 0.8162
50.82, 0.8211
50.93, 0.8162
51.03, 0.8211
