Sensor Name: ttx_102box
Initial Resistance: 90 ohms
Start Time: 2024-11-04 23:34:14
Time (s), Voltage (V)
1.48, 0.8113
1.58, 0.8016
1.68, 0.7967
1.78, 0.7918
1.88, 0.7918
1.98, 0.7918
2.09, 0.7918
2.18, 0.7967
2.29, 0.7967
2.39, 0.8016
2.49, 0.8065
2.60, 0.8113
2.70, 0.8162
2.79, 0.8162
2.90, 0.8113
3.00, 0.8016
3.10, 0.8016
3.20, 0.7967
3.30, 0.7918
3.40, 0.7918
3.50, 0.7918
3.60, 0.7967
3.70, 0.7967
3.81, 0.8016
3.91, 0.8016
4.01, 0.8113
4.11, 0.8113
4.21, 0.8113
4.31, 0.8162
4.42, 0.8065
4.51, 0.8016
4.61, 0.8016
4.72, 0.7918
4.82, 0.7918
4.93, 0.7918
5.03, 0.7918
5.13, 0.7967
5.22, 0.8016
5.33, 0.8016
5.42, 0.8113
5.53, 0.8113
5.63, 0.8113
5.73, 0.8113
5.83, 0.8113
5.93, 0.8065
6.04, 0.7967
6.14, 0.7967
6.24, 0.7918
6.34, 0.7967
6.44, 0.7918
6.54, 0.7967
6.64, 0.8016
6.75, 0.8016
6.85, 0.8065
6.95, 0.8162
7.05, 0.8260
7.15, 0.8211
7.26, 0.8162
7.36, 0.8113
7.45, 0.8065
7.55, 0.7967
7.66, 0.7967
7.77, 0.7967
7.86, 0.7967
7.96, 0.7967
8.06, 0.7967
8.16, 0.8016
8.26, 0.8065
8.37, 0.8162
8.47, 0.8162
8.57, 0.8211
8.67, 0.8211
8.77, 0.8113
8.87, 0.8016
8.97, 0.7918
9.07, 0.8016
9.18, 0.8456
9.28, 0.9042
9.38, 0.9531
9.49, 0.9873
9.58, 1.0264
9.68, 1.0411
9.78, 1.0557
9.89, 1.0655
9.99, 1.0704
10.09, 1.0704
10.19, 1.0704
10.29, 1.0606
10.39, 1.0606
10.49, 1.0508
10.60, 1.0557
10.70, 1.0557
10.80, 1.0557
10.90, 1.0508
11.00, 1.0557
11.11, 1.0557
11.21, 1.0606
11.31, 1.0704
11.41, 1.0753
11.51, 1.0753
11.61, 1.0704
11.71, 1.0655
11.81, 1.0655
11.91, 1.0606
12.02, 1.0557
12.11, 1.0557
12.22, 1.0508
12.32, 1.0508
12.42, 1.0557
12.52, 1.0606
12.62, 1.0606
12.72, 1.0704
12.83, 1.0704
12.93, 1.0704
13.03, 1.0704
13.13, 1.0704
13.23, 1.0606
13.33, 1.0557
13.43, 1.0557
13.53, 1.0508
13.64, 1.0508
13.74, 1.0557
13.84, 1.0557
13.94, 1.0557
14.04, 1.0606
14.14, 1.0655
14.24, 1.0704
14.35, 1.0704
14.45, 1.0655
14.55, 1.0606
14.65, 1.0606
14.75, 1.0557
14.85, 1.0508
14.96, 1.0508
15.05, 1.0459
15.16, 1.0459
15.26, 1.0459
15.36, 1.0508
15.46, 1.0508
15.56, 1.0557
15.66, 1.0606
15.77, 1.0655
15.87, 1.0655
15.96, 1.0655
16.07, 1.0557
16.17, 1.0606
16.27, 1.0508
16.37, 1.0459
16.47, 1.0459
16.58, 1.0459
16.68, 1.0459
16.78, 1.0508
16.88, 1.0459
16.98, 1.0508
17.08, 1.0557
17.19, 1.0606
17.28, 1.0655
17.39, 1.0606
17.49, 1.0606
17.59, 1.0606
17.69, 1.0508
17.79, 1.0459
17.89, 1.0411
18.00, 1.0411
18.10, 1.0362
18.19, 1.0459
18.30, 1.0411
18.40, 1.0459
18.50, 1.0508
18.60, 1.0557
18.70, 1.0557
18.80, 1.0606
18.91, 1.0606
19.01, 1.0508
19.11, 1.0459
19.21, 1.0411
19.31, 1.0411
19.41, 1.0362
19.51, 1.0411
19.61, 1.0362
19.71, 1.0362
19.82, 1.0459
19.92, 1.0459
20.02, 1.0508
20.12, 1.0557
20.23, 1.0606
20.33, 1.0557
20.42, 1.0557
20.53, 1.0508
20.63, 1.0411
20.73, 1.0411
20.83, 1.0362
20.93, 1.0362
21.03, 1.0362
21.13, 1.0459
21.24, 1.0411
21.34, 1.0411
21.44, 1.0459
21.54, 1.0557
21.64, 1.0606
21.74, 1.0655
21.85, 1.0655
21.95, 1.0557
22.05, 1.0459
22.15, 1.0411
22.25, 1.0362
22.35, 1.0313
22.46, 1.0411
22.56, 1.0362
22.65, 1.0362
22.76, 1.0411
22.86, 1.0411
22.96, 1.0411
23.07, 1.0459
23.16, 1.0508
23.26, 1.0557
23.37, 1.0508
23.47, 1.0459
23.57, 1.0362
23.67, 1.0362
23.77, 1.0313
23.87, 1.0313
23.97, 1.0313
24.08, 1.0313
24.17, 1.0362
24.27, 1.0362
24.38, 1.0411
24.48, 1.0459
24.58, 1.0606
24.68, 1.0557
24.79, 1.0508
24.89, 1.0459
24.99, 1.0362
25.09, 1.0313
25.19, 1.0313
25.29, 1.0313
25.39, 1.0313
25.50, 1.0313
25.59, 1.0362
25.70, 1.0362
25.80, 1.0362
25.90, 1.0411
26.00, 1.0459
26.10, 1.0508
26.21, 1.0557
26.31, 1.0508
26.41, 1.0411
26.51, 1.0362
26.61, 1.0313
26.71, 1.0264
26.81, 1.0313
26.91, 1.0264
27.02, 1.0313
27.11, 1.0313
27.21, 1.0313
27.32, 1.0362
27.42, 1.0411
27.52, 1.0459
27.62, 1.0459
27.72, 1.0508
27.83, 1.0411
27.92, 1.0411
28.03, 1.0362
28.13, 1.0362
28.23, 1.0313
28.33, 1.0264
28.43, 1.0264
28.54, 1.0264
28.63, 1.0313
28.74, 1.0313
28.84, 1.0362
28.94, 1.0459
29.04, 1.0459
29.14, 1.0459
29.24, 1.0411
29.35, 1.0411
29.45, 1.0362
29.55, 1.0264
29.65, 1.0264
29.75, 1.0264
29.85, 1.0215
29.95, 1.0264
30.05, 1.0264
30.15, 1.0264
30.26, 1.0362
30.36, 1.0362
30.46, 1.0411
30.57, 1.0459
30.67, 1.0459
30.76, 1.0411
30.87, 1.0362
30.97, 1.0313
31.07, 1.0264
31.17, 1.0264
31.27, 1.0264
31.37, 1.0215
31.47, 1.0313
31.57, 1.0411
31.67, 1.0313
31.78, 1.0313
31.88, 1.0313
31.98, 1.0411
32.08, 1.0362
32.18, 1.0411
32.29, 1.0411
32.38, 1.0362
32.49, 1.0313
32.59, 1.0215
32.69, 1.0264
32.80, 1.0166
32.89, 1.0215
32.99, 1.0264
33.10, 1.0215
33.20, 1.0313
33.30, 1.0264
33.40, 1.0362
33.50, 1.0362
33.60, 1.0362
33.70, 1.0508
33.80, 1.0459
33.91, 1.0411
34.01, 1.0313
34.11, 1.0264
34.21, 1.0215
34.31, 1.0215
34.41, 1.0166
34.52, 1.0215
34.61, 1.0215
34.71, 1.0313
34.82, 1.0313
34.92, 1.0362
35.02, 1.0459
35.12, 0.8700
35.23, 0.9384
35.33, 0.9775
35.42, 0.9922
35.53, 1.0020
35.63, 1.0020
35.73, 1.0068
35.83, 1.0166
35.93, 1.0166
36.03, 1.0215
36.14, 1.0215
36.24, 1.0215
36.33, 1.0313
36.44, 1.0264
36.54, 1.0264
36.64, 1.0313
36.74, 1.0313
36.84, 1.0313
36.95, 1.0264
37.05, 1.0264
37.15, 1.0215
37.25, 1.0215
37.35, 1.0215
37.45, 1.0264
37.55, 1.0215
37.65, 1.0215
37.76, 1.0264
37.86, 1.0264
37.96, 1.0264
38.06, 1.0313
38.16, 1.0313
38.26, 1.0313
38.36, 1.0313
38.47, 1.0264
38.57, 1.0264
38.67, 1.0411
38.77, 1.0264
38.87, 1.0264
38.97, 1.0215
39.08, 1.0264
39.18, 1.0215
39.27, 1.0215
39.38, 1.0264
39.48, 1.0313
39.58, 1.0362
39.68, 1.0508
39.78, 1.0508
39.88, 1.0362
39.99, 1.0264
40.09, 1.0215
40.19, 1.0166
40.29, 1.0166
40.39, 1.0117
40.49, 1.0166
40.59, 1.0068
40.69, 1.0166
40.79, 1.0264
40.90, 1.0264
41.00, 1.0362
41.10, 1.0362
41.20, 1.0362
41.30, 1.0411
41.41, 1.0362
41.50, 1.0264
41.61, 1.0215
41.71, 1.0166
41.81, 1.0117
41.91, 1.0117
42.01, 1.0166
42.11, 1.0215
42.21, 1.0264
42.32, 1.0215
42.42, 1.0264
42.52, 1.0313
42.62, 1.0362
42.72, 1.0362
42.82, 1.0362
42.92, 1.0313
43.02, 1.0264
43.13, 1.0215
43.23, 1.0166
43.33, 1.0117
43.43, 1.0166
43.54, 1.0117
43.63, 1.0117
43.74, 1.0215
43.84, 1.0215
43.94, 1.0264
44.04, 1.0313
44.14, 1.0313
44.25, 1.0362
44.34, 1.0313
44.45, 1.0264
44.55, 1.0264
44.68, 1.0166
44.75, 1.0166
44.85, 1.0117
44.95, 1.0117
45.05, 1.0117
45.15, 1.0166
45.25, 1.0215
45.36, 1.0215
45.46, 1.0264
45.56, 1.0313
45.66, 1.0411
45.76, 1.0362
45.86, 1.0313
45.97, 1.0264
46.07, 1.0215
46.17, 1.0166
46.27, 1.0117
46.37, 1.0117
46.48, 1.0117
46.57, 1.0166
46.67, 1.0166
46.78, 1.0215
46.88, 1.0215
46.98, 1.0264
47.08, 1.0313
47.19, 1.0411
47.29, 1.0411
47.39, 1.0362
47.49, 1.0313
47.59, 1.0264
47.69, 1.0166
47.79, 1.0166
47.89, 1.0117
47.99, 1.0117
48.09, 1.0166
48.20, 1.0166
48.30, 1.0215
48.40, 1.0264
48.50, 1.0313
48.60, 1.0362
48.70, 1.0411
48.81, 1.0411
48.91, 1.0362
49.01, 1.0313
49.11, 1.0362
49.21, 1.0215
49.31, 1.0166
49.42, 0.4399
49.51, 0.7087
49.62, 0.8309
49.72, 0.9091
49.82, 0.9531
49.92, 0.9775
50.02, 1.0020
50.12, 1.0117
50.22, 1.0166
50.32, 1.0215
50.43, 1.0264
50.52, 1.0215
50.63, 1.0215
50.73, 1.0215
50.83, 1.0166
50.93, 1.0166
51.03, 1.0215
51.14, 1.0117
