Sensor Name: yyyt5
Initial Resistance: 80 ohms
Start Time: 2024-11-07 01:31:04
Time (s), Voltage (V)
2.16, 0.0635
2.42, 0.0635
2.44, 0.0587
2.69, 0.0587
2.80, 0.0587
2.82, 0.0587
2.83, 0.0587
2.85, 0.0587
2.88, 0.0587
2.89, 0.0635
2.91, 0.0587
2.93, 0.0635
2.96, 0.0635
2.98, 0.0635
2.99, 0.0635
3.01, 0.0635
3.07, 0.0587
3.17, 0.0635
3.27, 0.0587
3.38, 0.0587
3.48, 0.0587
3.58, 0.0587
3.68, 0.0587
3.78, 0.0587
3.88, 0.0635
3.98, 0.0635
4.08, 0.0635
4.18, 0.0635
4.28, 0.0635
4.39, 0.0635
4.48, 0.0635
4.59, 0.0635
4.70, 0.0587
4.79, 0.0635
4.89, 0.0587
4.99, 0.0635
5.10, 0.0587
5.19, 0.0587
5.30, 0.0635
5.40, 0.0635
5.50, 0.0635
5.60, 0.0587
5.70, 0.0635
5.80, 0.0684
5.91, 0.0635
6.01, 0.0684
6.11, 0.0635
6.21, 0.0587
6.31, 0.0587
6.41, 0.0587
6.52, 0.0587
6.61, 0.0587
6.72, 0.0635
6.82, 0.0587
6.92, 0.0587
7.02, 0.0587
7.12, 0.0587
7.22, 0.0635
7.32, 0.0635
7.42, 0.0635
7.53, 0.0635
7.63, 0.0635
7.72, 0.0635
7.83, 0.0635
7.93, 0.0587
8.03, 0.0587
8.14, 0.0587
8.24, 0.0587
8.33, 0.0587
8.44, 0.0587
8.54, 0.0587
8.64, 0.0635
8.74, 0.0635
8.84, 0.0635
8.94, 0.0635
9.04, 0.0635
9.15, 0.0684
9.24, 0.0635
9.35, 0.0635
9.45, 0.0635
9.55, 0.0635
9.65, 0.0587
9.76, 0.0635
9.85, 0.0587
9.96, 0.0587
10.06, 0.0635
10.16, 0.0587
10.26, 0.0635
10.36, 0.0635
10.46, 0.0684
10.56, 0.0684
10.67, 0.0635
10.77, 0.0684
10.87, 0.0635
10.97, 0.0635
11.07, 0.0587
11.17, 0.0587
11.28, 0.0587
11.37, 0.0587
11.47, 0.0587
11.57, 0.0587
11.68, 0.0587
11.78, 0.0587
11.88, 0.0587
11.99, 0.0635
12.08, 0.0635
12.18, 0.0635
12.29, 0.0635
12.39, 0.0635
12.49, 0.0635
12.59, 0.0635
12.69, 0.0635
12.79, 0.0635
12.89, 0.0587
13.00, 0.0635
13.10, 0.0635
13.20, 0.0635
13.30, 0.0635
13.40, 0.0635
13.50, 0.0684
13.60, 0.0635
13.70, 0.0684
13.81, 0.0684
13.90, 0.0635
14.01, 0.0635
14.11, 0.0635
14.21, 0.0587
14.32, 0.0587
14.41, 0.0587
14.51, 0.0635
14.62, 0.0635
14.72, 0.0587
14.82, 0.0587
14.92, 0.0635
15.02, 0.0635
15.12, 0.0635
15.22, 0.0635
15.32, 0.0635
15.42, 0.0587
15.53, 0.0635
15.63, 0.0635
15.73, 0.0635
15.83, 0.0684
15.93, 0.0782
16.03, 0.0929
16.13, 0.1075
16.24, 0.1271
16.34, 0.1417
16.44, 0.1564
16.54, 0.1662
16.64, 0.1808
16.75, 0.1906
16.84, 0.1955
16.94, 0.1955
17.04, 0.2004
17.15, 0.2004
17.25, 0.2004
17.35, 0.2053
17.45, 0.2102
17.55, 0.2102
17.65, 0.2102
17.75, 0.2151
17.85, 0.2199
17.96, 0.2248
18.06, 0.2248
18.16, 0.2297
18.26, 0.2297
18.36, 0.2297
18.46, 0.2297
18.57, 0.2346
18.66, 0.2346
18.76, 0.2297
18.87, 0.2297
18.97, 0.2346
19.07, 0.2346
19.18, 0.2346
19.27, 0.2346
19.37, 0.2346
19.48, 0.2346
19.58, 0.2395
19.68, 0.2395
19.78, 0.2395
19.88, 0.2444
19.98, 0.2395
20.09, 0.2395
20.18, 0.2346
20.29, 0.2346
20.39, 0.2346
20.49, 0.2297
20.59, 0.2346
20.69, 0.2346
20.79, 0.2297
20.89, 0.2346
20.99, 0.2346
21.10, 0.2346
21.20, 0.2395
21.30, 0.2395
21.40, 0.2395
21.50, 0.2395
21.60, 0.2395
21.70, 0.2395
21.80, 0.2346
21.91, 0.2346
22.01, 0.2346
22.11, 0.2395
22.21, 0.2346
22.31, 0.2346
22.41, 0.2346
22.51, 0.2346
22.61, 0.2346
22.71, 0.2395
22.82, 0.2395
22.92, 0.2395
23.02, 0.2444
23.12, 0.2444
23.22, 0.2444
23.33, 0.2395
23.43, 0.2444
23.53, 0.2395
23.63, 0.2346
23.73, 0.2395
23.83, 0.2395
23.93, 0.2395
24.03, 0.2395
24.14, 0.2444
24.24, 0.2444
24.33, 0.2444
24.44, 0.2444
24.54, 0.2493
24.64, 0.2444
24.74, 0.2444
24.85, 0.2444
24.95, 0.2444
25.05, 0.2395
25.15, 0.2395
25.25, 0.2395
25.35, 0.2395
25.45, 0.2346
25.56, 0.2395
25.66, 0.2395
25.76, 0.2444
25.86, 0.2444
25.96, 0.2444
26.06, 0.2444
26.16, 0.2444
26.26, 0.2444
26.36, 0.2444
26.46, 0.2395
26.56, 0.2395
26.67, 0.2395
26.77, 0.2395
26.87, 0.2395
26.97, 0.2395
27.07, 0.2444
27.18, 0.2395
27.28, 0.2395
27.38, 0.2444
27.48, 0.2444
27.58, 0.2444
27.68, 0.2444
27.78, 0.2444
27.90, 0.2444
27.99, 0.2444
28.08, 0.2444
28.19, 0.2395
28.29, 0.2444
28.39, 0.2444
28.49, 0.2444
28.59, 0.2395
28.70, 0.2444
28.80, 0.2493
28.89, 0.2444
29.00, 0.2444
29.10, 0.2444
29.20, 0.2444
29.30, 0.2444
29.40, 0.2444
29.50, 0.2444
29.61, 0.2444
29.71, 0.2444
29.81, 0.2395
29.91, 0.2444
30.01, 0.2444
30.11, 0.2444
30.21, 0.2493
30.32, 0.2542
30.42, 0.2493
30.51, 0.2493
30.62, 0.2493
30.72, 0.2493
30.82, 0.2444
30.92, 0.2444
31.02, 0.2444
31.12, 0.2444
31.23, 0.2444
31.33, 0.2444
31.43, 0.2444
31.53, 0.2444
31.63, 0.2493
31.73, 0.2493
31.83, 0.2542
31.93, 0.2542
32.04, 0.2542
32.14, 0.2493
32.24, 0.2493
32.34, 0.2493
32.44, 0.2493
32.55, 0.2444
32.65, 0.2444
32.75, 0.2444
32.85, 0.2493
32.94, 0.2542
33.05, 0.2542
33.15, 0.2493
33.25, 0.2542
33.35, 0.2542
33.45, 0.2542
33.55, 0.2542
33.65, 0.2590
33.76, 0.2590
33.86, 0.2542
33.96, 0.2542
34.07, 0.2542
34.16, 0.2493
34.27, 0.2493
34.37, 0.2542
34.47, 0.2542
34.57, 0.2493
34.67, 0.2542
34.77, 0.2542
34.87, 0.2542
34.98, 0.2542
35.07, 0.2590
35.18, 0.2542
35.28, 0.2542
35.38, 0.2542
35.48, 0.2493
35.58, 0.2542
35.68, 0.2493
35.78, 0.2493
35.89, 0.2493
35.99, 0.2493
36.09, 0.2542
36.19, 0.2542
36.29, 0.2590
36.39, 0.2590
36.49, 0.2542
36.59, 0.2542
36.70, 0.2542
36.79, 0.2542
36.90, 0.2542
37.00, 0.2542
37.10, 0.2493
37.20, 0.2542
37.30, 0.2542
37.40, 0.2542
37.51, 0.2542
37.60, 0.2590
37.71, 0.2542
37.81, 0.2542
37.91, 0.2542
38.01, 0.2590
38.11, 0.2590
38.21, 0.2542
38.31, 0.2493
38.41, 0.2493
38.52, 0.2542
38.62, 0.2542
38.72, 0.2493
38.82, 0.2493
38.92, 0.2542
39.02, 0.2542
39.12, 0.2542
39.22, 0.2542
39.33, 0.2590
39.43, 0.2590
39.53, 0.2590
39.63, 0.2542
39.73, 0.2542
39.83, 0.2493
39.93, 0.2542
40.04, 0.2542
40.14, 0.2542
40.24, 0.2542
40.34, 0.2542
40.44, 0.2542
40.54, 0.2542
40.64, 0.2590
40.74, 0.2639
40.84, 0.2639
40.95, 0.2590
41.05, 0.2639
41.15, 0.2590
41.26, 0.2542
41.35, 0.2590
41.45, 0.2542
41.56, 0.2542
41.66, 0.2542
41.76, 0.2542
41.86, 0.2542
41.96, 0.2542
42.06, 0.2590
42.16, 0.2590
42.27, 0.2639
42.37, 0.2590
42.47, 0.2542
42.57, 0.2590
42.67, 0.2590
42.77, 0.2542
42.87, 0.2542
42.98, 0.2542
43.08, 0.2542
43.18, 0.2542
43.28, 0.2542
43.38, 0.2542
43.49, 0.2542
43.58, 0.2542
43.69, 0.2542
43.79, 0.2590
43.88, 0.2590
43.99, 0.2590
44.09, 0.2590
44.19, 0.2542
44.29, 0.2542
44.39, 0.2493
44.50, 0.2542
44.60, 0.2542
44.69, 0.2493
44.80, 0.2542
44.90, 0.2542
45.00, 0.2590
45.10, 0.2639
45.20, 0.2737
45.30, 0.2786
45.40, 0.2835
45.50, 0.2786
45.61, 0.2737
45.71, 0.2688
45.81, 0.2688
45.91, 0.2688
46.01, 0.2639
46.11, 0.2688
46.21, 0.2639
46.32, 0.2688
46.42, 0.2639
46.52, 0.2639
46.62, 0.2590
46.73, 0.2590
46.82, 0.2590
46.93, 0.2542
47.03, 0.2590
47.13, 0.2639
47.23, 0.2590
47.33, 0.2590
47.43, 0.2542
47.53, 0.2542
47.63, 0.2542
47.73, 0.2590
47.84, 0.2590
47.93, 0.2590
48.04, 0.2590
48.14, 0.2639
48.24, 0.2590
48.34, 0.2590
48.44, 0.2590
48.55, 0.2590
48.65, 0.2542
48.75, 0.2542
48.85, 0.2542
48.95, 0.2493
49.05, 0.2542
49.15, 0.2542
49.25, 0.2542
49.36, 0.2493
49.46, 0.2542
49.56, 0.2542
49.66, 0.2590
