Sensor Name: ttx_without_104
Initial Resistance: 60m ohms
Start Time: 2024-11-07 20:12:44
Time (s), Voltage (V)
2.24, 0.0293
2.58, 0.0244
2.62, 0.0293
2.90, 0.0293
3.05, 0.0293
3.08, 0.0342
3.10, 0.0293
3.12, 0.0342
3.14, 0.0342
3.17, 0.0391
3.19, 0.0391
3.22, 0.0391
3.24, 0.0440
3.27, 0.0391
3.29, 0.0391
3.30, 0.0391
3.33, 0.0342
3.35, 0.0293
3.38, 0.0342
3.40, 0.0293
3.50, 0.0293
3.60, 0.0293
3.70, 0.0293
3.81, 0.0342
3.91, 0.0342
4.01, 0.0440
4.11, 0.0391
4.21, 0.0440
4.31, 0.0440
4.40, 0.0342
4.51, 0.0391
4.61, 0.0342
4.71, 0.0293
4.81, 0.0293
4.92, 0.0293
5.01, 0.0293
5.12, 0.0244
5.22, 0.0293
5.32, 0.0293
5.42, 0.0342
5.52, 0.0342
5.62, 0.0391
5.73, 0.0391
5.83, 0.0440
5.93, 0.0440
6.03, 0.0440
6.13, 0.0391
6.23, 0.0342
6.34, 0.0293
6.43, 0.0293
6.55, 0.0293
6.63, 0.0342
6.74, 0.0244
6.85, 0.0342
6.94, 0.0342
7.05, 0.0342
7.15, 0.0440
7.25, 0.0342
7.34, 0.0391
7.45, 0.0440
7.55, 0.0391
7.65, 0.0391
7.75, 0.0342
7.85, 0.0293
7.96, 0.0293
8.06, 0.0244
8.16, 0.0293
8.25, 0.0293
8.35, 0.0244
8.46, 0.0342
8.57, 0.0293
8.66, 0.0342
8.76, 0.0342
8.86, 0.0391
8.96, 0.0391
9.07, 0.0391
9.17, 0.0391
9.27, 0.0391
9.38, 0.0342
9.47, 0.0293
9.57, 0.0342
9.68, 0.0293
9.78, 0.0342
9.88, 0.0293
9.98, 0.0293
10.08, 0.0342
10.20, 0.0293
10.28, 0.0293
10.38, 0.0293
10.48, 0.0440
10.58, 0.0440
10.68, 0.0391
10.79, 0.0440
10.89, 0.0391
10.99, 0.0342
11.09, 0.0391
11.19, 0.0342
11.30, 0.0293
11.39, 0.0293
11.50, 0.0293
11.60, 0.0293
11.69, 0.0440
11.80, 0.0587
11.90, 0.0733
12.01, 0.0782
12.10, 0.1026
12.21, 0.1124
12.31, 0.1173
12.40, 0.1320
12.51, 0.1271
12.61, 0.1369
12.71, 0.1320
12.81, 0.1320
12.96, 0.1320
13.04, 0.1320
13.12, 0.1320
13.22, 0.1320
13.32, 0.1417
13.42, 0.1466
13.52, 0.1564
13.63, 0.1613
13.72, 0.1613
13.82, 0.1564
13.93, 0.1613
14.03, 0.1564
14.13, 0.1515
14.23, 0.1515
14.33, 0.1515
14.43, 0.1466
14.54, 0.1466
14.63, 0.1515
14.73, 0.1515
14.83, 0.1564
14.94, 0.1564
15.04, 0.1564
15.14, 0.1613
15.24, 0.1662
15.35, 0.1662
15.44, 0.1613
15.55, 0.1613
15.65, 0.1515
15.75, 0.1564
15.85, 0.1515
15.95, 0.1515
