Sensor Name: ttx_with_104
Initial Resistance: 90 ohms
Start Time: 2024-11-07 20:15:43
Time (s), Voltage (V)
1.48, 0.0538
1.57, 0.0538
1.68, 0.0587
1.78, 0.0635
1.88, 0.0587
1.99, 0.0587
2.08, 0.0587
2.19, 0.0587
2.28, 0.0538
2.39, 0.0538
2.49, 0.0538
2.59, 0.0538
2.69, 0.0538
2.79, 0.0489
2.89, 0.0538
2.99, 0.0489
3.09, 0.0538
3.20, 0.0587
3.30, 0.0538
3.40, 0.0587
3.50, 0.0538
3.61, 0.0587
3.70, 0.0538
3.80, 0.0587
3.91, 0.0587
4.01, 0.0538
4.11, 0.0489
4.21, 0.0538
4.31, 0.0489
4.41, 0.0538
4.52, 0.0538
4.61, 0.0538
4.72, 0.0587
4.82, 0.0489
4.92, 0.0538
5.02, 0.0538
5.12, 0.0587
5.22, 0.0538
5.32, 0.0587
5.42, 0.0538
5.53, 0.0538
5.63, 0.0538
5.73, 0.0489
5.83, 0.0538
5.93, 0.0538
6.04, 0.0489
6.13, 0.0489
6.24, 0.0489
6.34, 0.0538
6.44, 0.0538
6.54, 0.0489
6.64, 0.0635
6.74, 0.0489
6.84, 0.0538
6.94, 0.0538
7.05, 0.0587
7.15, 0.0489
7.24, 0.0538
7.35, 0.0440
7.45, 0.0538
7.55, 0.0489
7.66, 0.0538
7.75, 0.0538
7.86, 0.0489
7.96, 0.0538
8.05, 0.0538
8.16, 0.0587
8.26, 0.0538
8.37, 0.0538
8.47, 0.0587
8.57, 0.0587
8.67, 0.0587
8.76, 0.0489
8.87, 0.0538
8.97, 0.0538
9.07, 0.0440
9.17, 0.0489
9.28, 0.0489
9.37, 0.0489
9.47, 0.0489
9.58, 0.0489
9.68, 0.0538
9.78, 0.0489
9.88, 0.0587
9.98, 0.0538
10.08, 0.0538
10.18, 0.0489
10.29, 0.0538
10.38, 0.0538
10.49, 0.0489
10.59, 0.0489
10.69, 0.0489
10.79, 0.0489
10.90, 0.0440
11.00, 0.0489
11.10, 0.0489
11.20, 0.0489
11.30, 0.0538
11.40, 0.0538
11.50, 0.0489
11.60, 0.0538
11.70, 0.0587
11.80, 0.0538
11.90, 0.0538
12.01, 0.0538
12.11, 0.0538
12.21, 0.0489
12.31, 0.0489
12.41, 0.0440
12.51, 0.0489
12.61, 0.0489
12.72, 0.0489
12.82, 0.0538
12.92, 0.0489
13.02, 0.0538
13.13, 0.0538
13.22, 0.0538
13.33, 0.0538
13.43, 0.0538
13.53, 0.0587
13.63, 0.0489
13.73, 0.0489
13.83, 0.0489
13.93, 0.0440
14.03, 0.0489
14.13, 0.0489
14.24, 0.0391
14.34, 0.0489
14.44, 0.0489
14.54, 0.0440
14.64, 0.0538
14.75, 0.0489
14.85, 0.0538
14.94, 0.0538
15.05, 0.0489
15.14, 0.0538
15.25, 0.0538
15.35, 0.0538
15.45, 0.0489
15.55, 0.0489
15.65, 0.0440
15.76, 0.0440
15.85, 0.0440
15.96, 0.0489
16.06, 0.0489
16.17, 0.0489
16.26, 0.0440
16.36, 0.0489
16.46, 0.0489
16.57, 0.0538
16.66, 0.0489
16.77, 0.0587
16.87, 0.0440
16.97, 0.0489
17.07, 0.0489
17.17, 0.0489
17.27, 0.0440
17.37, 0.0440
17.48, 0.0538
17.58, 0.0733
17.68, 0.0880
17.78, 0.1173
17.88, 0.1417
17.98, 0.1662
18.08, 0.1955
18.19, 0.2199
18.29, 0.2395
18.39, 0.2590
18.49, 0.2688
18.59, 0.2884
18.69, 0.2933
18.79, 0.2933
18.89, 0.2933
19.00, 0.2981
19.10, 0.2981
19.20, 0.3079
19.30, 0.3079
19.40, 0.3128
19.50, 0.3128
19.61, 0.3128
19.71, 0.3177
19.81, 0.3226
19.91, 0.3226
20.01, 0.3177
20.11, 0.3226
20.21, 0.3226
20.31, 0.3226
20.41, 0.3226
20.51, 0.3177
20.61, 0.3226
20.72, 0.3226
20.82, 0.3177
20.92, 0.3226
21.02, 0.3275
21.12, 0.3226
21.22, 0.3275
21.33, 0.3275
21.43, 0.3275
21.53, 0.3275
21.63, 0.3275
21.73, 0.3128
21.83, 0.3177
21.94, 0.3128
22.04, 0.3128
22.14, 0.3079
22.24, 0.2981
22.34, 0.2981
22.44, 0.2884
22.54, 0.2884
22.64, 0.2835
22.75, 0.2786
22.85, 0.2737
22.95, 0.2786
23.05, 0.2688
23.15, 0.2688
23.25, 0.2639
23.35, 0.2639
23.45, 0.2590
23.56, 0.2542
23.66, 0.2542
23.76, 0.2542
23.86, 0.2542
23.96, 0.2542
24.06, 0.2542
24.16, 0.2542
24.26, 0.2542
24.36, 0.2542
24.46, 0.2493
24.57, 0.2444
24.67, 0.2395
24.77, 0.2346
24.87, 0.2297
24.97, 0.2199
25.07, 0.2151
25.18, 0.2151
25.28, 0.2102
25.38, 0.2053
25.48, 0.2053
25.58, 0.2053
25.68, 0.2053
25.78, 0.2004
25.89, 0.2053
25.98, 0.2053
26.09, 0.2053
26.19, 0.2053
26.29, 0.2151
26.39, 0.2102
26.49, 0.2151
26.60, 0.2053
26.69, 0.2053
26.80, 0.2053
26.90, 0.2053
27.00, 0.2053
27.10, 0.2053
27.20, 0.2053
27.30, 0.2004
27.40, 0.2004
27.51, 0.2004
27.60, 0.2004
27.71, 0.2004
27.81, 0.2004
27.91, 0.2053
28.01, 0.2004
28.11, 0.1955
28.21, 0.1906
28.32, 0.1906
28.42, 0.1857
28.52, 0.1808
28.62, 0.1662
28.72, 0.1662
28.82, 0.1564
28.92, 0.1515
29.03, 0.1466
29.13, 0.1466
29.23, 0.1417
29.33, 0.1369
29.43, 0.1369
29.53, 0.1320
29.63, 0.1320
29.73, 0.1271
29.84, 0.1369
29.93, 0.1369
30.03, 0.1320
30.14, 0.1320
30.24, 0.1320
30.34, 0.1320
30.45, 0.1320
30.55, 0.1271
30.64, 0.1271
30.74, 0.1173
30.85, 0.1173
30.95, 0.1124
31.05, 0.1124
31.15, 0.1124
31.25, 0.1173
31.36, 0.1124
31.46, 0.1124
31.56, 0.1075
31.66, 0.1075
31.76, 0.1075
31.86, 0.1075
31.96, 0.1075
32.06, 0.1075
32.16, 0.1075
32.27, 0.1075
32.37, 0.1026
32.47, 0.0978
32.57, 0.0929
32.67, 0.0978
32.78, 0.0929
32.87, 0.0929
32.98, 0.0929
33.07, 0.0929
33.18, 0.0929
33.28, 0.0929
33.38, 0.0880
33.48, 0.0831
33.58, 0.0880
33.68, 0.0880
33.78, 0.0880
33.89, 0.0831
33.99, 0.0831
34.09, 0.0782
34.19, 0.0782
34.29, 0.0831
34.39, 0.0782
34.49, 0.0831
34.60, 0.0831
34.70, 0.0831
34.80, 0.0831
34.90, 0.0782
35.00, 0.0782
35.10, 0.0782
35.20, 0.0831
35.31, 0.0782
35.41, 0.0733
35.51, 0.0782
35.61, 0.0733
35.71, 0.0733
35.82, 0.0684
35.91, 0.0684
36.01, 0.0733
36.11, 0.0733
36.22, 0.0733
36.31, 0.0782
36.42, 0.0782
36.52, 0.0782
36.62, 0.0782
36.72, 0.0782
36.82, 0.0733
36.92, 0.0684
37.02, 0.0733
37.13, 0.0733
37.23, 0.0684
37.33, 0.0684
37.43, 0.0684
37.53, 0.0684
37.64, 0.0684
37.74, 0.0684
37.84, 0.0733
37.94, 0.0733
38.04, 0.0733
38.14, 0.0782
38.24, 0.0733
38.34, 0.0733
38.45, 0.0733
38.55, 0.0733
38.65, 0.0733
38.75, 0.0684
38.86, 0.0684
38.95, 0.0684
39.05, 0.0684
39.16, 0.0684
39.26, 0.0733
39.36, 0.0684
39.46, 0.0635
39.56, 0.0684
39.66, 0.0684
39.76, 0.0733
39.86, 0.0733
39.96, 0.0733
40.06, 0.0733
40.17, 0.0684
40.27, 0.0684
40.37, 0.0684
40.48, 0.0684
40.57, 0.0684
40.67, 0.0684
40.77, 0.0684
40.88, 0.0635
40.98, 0.0684
41.08, 0.0635
41.18, 0.0684
41.28, 0.0684
41.38, 0.0733
41.49, 0.0733
41.59, 0.0733
41.68, 0.0684
41.79, 0.0733
41.89, 0.0684
41.99, 0.0733
42.10, 0.0684
42.19, 0.0684
42.29, 0.0635
42.40, 0.0684
42.50, 0.0684
42.63, 0.0635
42.70, 0.0635
42.80, 0.0684
42.90, 0.0684
43.01, 0.0635
43.10, 0.0684
43.21, 0.0684
43.31, 0.0684
43.41, 0.0684
43.51, 0.0733
43.61, 0.0684
43.71, 0.0635
43.81, 0.0684
43.92, 0.0684
44.02, 0.0684
44.11, 0.0635
44.22, 0.0635
44.32, 0.0635
44.42, 0.0635
44.52, 0.0635
44.62, 0.0733
44.72, 0.0635
44.82, 0.0733
44.93, 0.0733
45.03, 0.0733
45.13, 0.0733
45.23, 0.1026
45.33, 0.2151
45.44, 0.2884
45.54, 0.3324
45.64, 0.3617
45.75, 0.3959
45.85, 0.4301
45.94, 0.4545
46.04, 0.4741
46.16, 0.4790
46.25, 0.4888
46.35, 0.4936
46.45, 0.4985
46.55, 0.4545
46.65, 0.4888
46.75, 0.4985
46.86, 0.5083
46.95, 0.5132
47.05, 0.5083
47.16, 0.4448
47.26, 0.4448
47.36, 0.4839
47.46, 0.4985
47.56, 0.5083
47.67, 0.5083
47.77, 0.5132
47.86, 0.5132
47.96, 0.5083
48.07, 0.5132
48.17, 0.5132
48.27, 0.5083
48.37, 0.4985
48.48, 0.5034
48.57, 0.4936
48.68, 0.4839
48.78, 0.4790
48.88, 0.4692
48.98, 0.4594
49.09, 0.4545
49.18, 0.4497
49.29, 0.4399
49.39, 0.4350
49.48, 0.4350
49.58, 0.4252
49.69, 0.4301
49.79, 0.4301
49.89, 0.4301
49.99, 0.4350
50.09, 0.4350
50.20, 0.4350
50.30, 0.4252
50.40, 0.4301
50.50, 0.4301
50.60, 0.4203
50.71, 0.4252
50.80, 0.4203
50.91, 0.4154
51.01, 0.4008
51.11, 0.4008
51.21, 0.3910
51.31, 0.3861
51.41, 0.3861
51.51, 0.3861
51.61, 0.3763
51.71, 0.3861
51.82, 0.3861
51.92, 0.3861
52.02, 0.3812
52.12, 0.3812
52.22, 0.3812
52.32, 0.3812
52.43, 0.3715
52.53, 0.3617
52.63, 0.3519
52.73, 0.3470
52.83, 0.3421
52.93, 0.3372
53.03, 0.3372
53.13, 0.3372
53.24, 0.3421
53.34, 0.3421
53.44, 0.3421
53.54, 0.3421
53.64, 0.3372
53.74, 0.3470
53.84, 0.3421
53.95, 0.3421
54.04, 0.3372
54.15, 0.3372
54.25, 0.3324
54.35, 0.3324
54.45, 0.3275
54.55, 0.3275
54.65, 0.3177
54.76, 0.3177
54.85, 0.3177
54.96, 0.3128
55.06, 0.3079
55.16, 0.3030
55.26, 0.2981
55.36, 0.2933
55.46, 0.2884
55.56, 0.2835
55.67, 0.2786
55.77, 0.2688
55.87, 0.2590
55.97, 0.2590
56.07, 0.2590
56.17, 0.2590
56.28, 0.2590
56.38, 0.2590
56.47, 0.2639
56.58, 0.2639
56.68, 0.2688
56.78, 0.2639
56.88, 0.2639
56.99, 0.2639
57.08, 0.2493
57.19, 0.2444
57.29, 0.2395
57.39, 0.2346
57.49, 0.2297
57.59, 0.2248
57.69, 0.2199
57.79, 0.2151
57.90, 0.2102
57.99, 0.2151
58.09, 0.2004
58.20, 0.2053
58.30, 0.2053
58.40, 0.2053
58.50, 0.2004
58.60, 0.2004
58.70, 0.2004
58.80, 0.2004
58.91, 0.2004
59.01, 0.2004
59.11, 0.1955
59.21, 0.1955
59.31, 0.1955
59.41, 0.1906
59.51, 0.1906
59.62, 0.1857
59.71, 0.1808
59.82, 0.1857
59.92, 0.1808
60.02, 0.1808
60.12, 0.1760
60.22, 0.1760
60.32, 0.1662
60.44, 0.1711
60.52, 0.1613
60.63, 0.1662
60.73, 0.1613
60.83, 0.1662
60.93, 0.1564
61.03, 0.1662
61.13, 0.1613
61.24, 0.1613
61.34, 0.1613
61.44, 0.1613
61.54, 0.1662
61.64, 0.1662
61.75, 0.1662
61.85, 0.1711
61.94, 0.1662
62.05, 0.1662
62.15, 0.1613
62.25, 0.1564
62.35, 0.1564
62.45, 0.1466
62.55, 0.1515
62.66, 0.1417
62.76, 0.1369
62.86, 0.1369
62.96, 0.1369
63.06, 0.1320
63.16, 0.1320
63.26, 0.1320
63.37, 0.1369
63.47, 0.1320
63.57, 0.1369
63.67, 0.1369
63.77, 0.1417
63.87, 0.1320
63.97, 0.1369
64.08, 0.1320
64.18, 0.1320
64.28, 0.1271
64.38, 0.1222
64.48, 0.1222
64.58, 0.1222
64.68, 0.1222
64.78, 0.1124
64.88, 0.1173
64.98, 0.1173
65.09, 0.1124
65.19, 0.1124
65.29, 0.1173
65.39, 0.1124
65.49, 0.1124
65.59, 0.1124
65.70, 0.1124
65.79, 0.1075
65.89, 0.1075
66.00, 0.1026
66.10, 0.1075
66.20, 0.1075
66.30, 0.1075
66.40, 0.1075
66.50, 0.0978
66.61, 0.1075
66.70, 0.0978
66.80, 0.1075
66.91, 0.1124
67.01, 0.1075
67.11, 0.1075
67.21, 0.1124
67.32, 0.1075
67.41, 0.1075
67.52, 0.1026
67.62, 0.1075
67.72, 0.1075
67.82, 0.0978
67.92, 0.1026
68.02, 0.1026
68.13, 0.0978
68.23, 0.1026
68.33, 0.1026
68.43, 0.1026
68.53, 0.1026
68.63, 0.1026
68.73, 0.1075
68.83, 0.1026
68.94, 0.1075
69.04, 0.1026
69.13, 0.1075
69.24, 0.1026
69.34, 0.0978
69.44, 0.1026
69.55, 0.0978
69.64, 0.0978
69.75, 0.0929
69.84, 0.1026
69.95, 0.0929
70.05, 0.1026
70.15, 0.0978
70.25, 0.1026
70.35, 0.0978
70.46, 0.0978
70.55, 0.0978
70.66, 0.0978
70.76, 0.0929
70.86, 0.0929
70.96, 0.0880
71.06, 0.0831
71.16, 0.0831
71.26, 0.0831
71.36, 0.0782
71.47, 0.0831
71.57, 0.0782
71.67, 0.0782
71.77, 0.0831
71.87, 0.0831
71.98, 0.0782
72.08, 0.0831
72.18, 0.0831
72.28, 0.0831
72.38, 0.0782
72.48, 0.0831
72.58, 0.0782
72.68, 0.0782
72.79, 0.0782
72.88, 0.0733
72.99, 0.0782
73.09, 0.0782
73.19, 0.0733
73.29, 0.0782
73.39, 0.0733
73.49, 0.0782
73.59, 0.0782
73.69, 0.0831
73.80, 0.0782
73.90, 0.0782
74.00, 0.0831
74.10, 0.0782
74.20, 0.0782
74.31, 0.0831
74.40, 0.0782
74.51, 0.0733
74.61, 0.0733
74.71, 0.0733
74.81, 0.0733
74.91, 0.0684
75.01, 0.0733
75.12, 0.0684
75.22, 0.0733
75.31, 0.0733
75.42, 0.0782
75.52, 0.0782
75.62, 0.0782
75.72, 0.0782
75.82, 0.0782
75.93, 0.0782
76.02, 0.0733
76.12, 0.0782
76.23, 0.0733
76.33, 0.0733
76.43, 0.0684
76.53, 0.0684
76.63, 0.0733
76.74, 0.0733
76.83, 0.0684
76.93, 0.0733
77.03, 0.0733
77.14, 0.0733
77.24, 0.0782
77.34, 0.0782
77.44, 0.0782
77.54, 0.0782
77.65, 0.0782
77.75, 0.0733
77.85, 0.0733
77.95, 0.0684
78.05, 0.0684
78.15, 0.0733
78.25, 0.0733
78.36, 0.0733
78.46, 0.0733
78.56, 0.0733
78.66, 0.0684
78.76, 0.0733
78.87, 0.0733
78.96, 0.0782
79.06, 0.0733
79.17, 0.0782
79.27, 0.0733
79.37, 0.0733
79.47, 0.0733
79.57, 0.0733
79.67, 0.0733
79.77, 0.0733
79.88, 0.0684
79.97, 0.0733
80.07, 0.0684
80.18, 0.0733
80.28, 0.0684
80.38, 0.0733
80.48, 0.0733
80.58, 0.0782
80.68, 0.0733
80.78, 0.0782
80.89, 0.0831
80.99, 0.0733
81.09, 0.0831
81.19, 0.0831
81.30, 0.0733
81.39, 0.0733
81.49, 0.0733
81.60, 0.0733
81.70, 0.0733
81.80, 0.0733
81.90, 0.0684
82.00, 0.0733
82.10, 0.0733
82.20, 0.0733
82.30, 0.0782
82.40, 0.0782
82.51, 0.0880
82.61, 0.0831
82.71, 0.0831
82.81, 0.0831
82.91, 0.0782
83.01, 0.0782
83.11, 0.0782
83.22, 0.0782
83.32, 0.0831
83.42, 0.1026
83.52, 0.1564
83.62, 0.3079
83.72, 0.5181
83.82, 0.5474
83.92, 0.7380
84.03, 0.7527
84.12, 0.7869
84.23, 0.7869
84.33, 0.7820
84.43, 0.7820
84.53, 0.7820
84.63, 0.7869
84.74, 0.7967
84.84, 0.7869
84.94, 0.7820
85.04, 0.7820
85.14, 0.7820
85.24, 0.7820
85.35, 0.7869
85.45, 0.7967
85.55, 0.7967
85.65, 0.8016
85.75, 0.8113
85.85, 0.8065
85.95, 0.8162
86.05, 0.8065
86.16, 0.8113
86.26, 0.8065
86.35, 0.8113
86.46, 0.8065
86.56, 0.7967
86.66, 0.7527
86.76, 0.7527
86.86, 0.7331
86.96, 0.6696
87.06, 0.6305
87.17, 0.6745
87.27, 0.6891
87.37, 0.6891
87.47, 0.6500
87.57, 0.5670
87.68, 0.5572
87.78, 0.5718
87.88, 0.6549
87.98, 0.6549
88.08, 0.5963
88.18, 0.5816
88.28, 0.5865
88.39, 0.5181
88.49, 0.5963
88.59, 0.6549
88.69, 0.6794
88.79, 0.6940
88.89, 0.6989
88.99, 0.6940
89.09, 0.6989
89.19, 0.6989
89.29, 0.6989
89.40, 0.6989
89.50, 0.6940
89.60, 0.6940
89.70, 0.6940
89.80, 0.6940
89.91, 0.6843
90.00, 0.6696
90.10, 0.6647
90.21, 0.6647
90.31, 0.6452
90.41, 0.6354
90.51, 0.6305
90.61, 0.6158
90.72, 0.6061
90.82, 0.5963
90.92, 0.5816
91.02, 0.5621
91.12, 0.5572
91.22, 0.5474
91.32, 0.5327
91.42, 0.5327
91.52, 0.5230
91.63, 0.5083
91.73, 0.5083
91.83, 0.4936
91.93, 0.4888
92.03, 0.4790
92.14, 0.4790
92.24, 0.4741
92.33, 0.4790
92.44, 0.4790
92.54, 0.4839
92.64, 0.4839
92.74, 0.4839
92.84, 0.4888
92.94, 0.4888
93.04, 0.4888
93.14, 0.4936
93.25, 0.4888
93.35, 0.4936
93.45, 0.4985
93.55, 0.5034
93.65, 0.5034
93.75, 0.5034
93.86, 0.5034
93.95, 0.4985
94.06, 0.4790
94.16, 0.4643
94.27, 0.4497
94.37, 0.4350
94.47, 0.4252
94.57, 0.4154
94.67, 0.4154
94.77, 0.4106
94.87, 0.4057
94.97, 0.4008
95.07, 0.3910
95.18, 0.3910
95.27, 0.3861
95.38, 0.3861
95.48, 0.3812
95.58, 0.3763
95.68, 0.3666
95.78, 0.3617
95.88, 0.3519
95.99, 0.3470
96.09, 0.3421
96.19, 0.3372
96.29, 0.3324
96.39, 0.3226
96.49, 0.3324
96.59, 0.3421
96.69, 0.3372
96.80, 0.3421
96.90, 0.3519
97.00, 0.3568
97.10, 0.3568
97.20, 0.3568
97.30, 0.3568
97.40, 0.3568
97.50, 0.3568
97.60, 0.3421
97.71, 0.3324
97.81, 0.3177
97.91, 0.3079
98.01, 0.3079
98.11, 0.2933
98.21, 0.2933
98.31, 0.2884
98.42, 0.2835
98.52, 0.2688
98.62, 0.2737
98.72, 0.2590
98.82, 0.2590
98.92, 0.2444
99.02, 0.2395
99.13, 0.2297
99.23, 0.2248
99.33, 0.2248
99.43, 0.2151
99.53, 0.2248
99.63, 0.2297
99.73, 0.2248
99.83, 0.2346
99.93, 0.2395
100.03, 0.2395
100.13, 0.2444
100.24, 0.2444
100.34, 0.2395
100.45, 0.2248
100.54, 0.2199
100.64, 0.2151
100.74, 0.2053
100.85, 0.2004
100.95, 0.1955
101.05, 0.1906
101.15, 0.1808
101.25, 0.1808
101.35, 0.1760
101.46, 0.1711
101.55, 0.1662
101.66, 0.1808
101.76, 0.1760
101.86, 0.1760
101.96, 0.1808
102.06, 0.1857
102.17, 0.1857
102.27, 0.1857
102.37, 0.1857
102.47, 0.1808
102.57, 0.1857
102.67, 0.1857
102.77, 0.1808
102.87, 0.1808
102.98, 0.1760
103.07, 0.1662
103.18, 0.1662
103.28, 0.1662
103.38, 0.1711
103.48, 0.1662
103.58, 0.1662
103.68, 0.1711
103.79, 0.1613
103.89, 0.1564
103.98, 0.1564
104.09, 0.1515
104.19, 0.1564
104.29, 0.1515
104.39, 0.1515
104.50, 0.1564
104.60, 0.1564
104.70, 0.1564
104.79, 0.1613
104.90, 0.1613
105.00, 0.1613
105.10, 0.1613
105.20, 0.1564
105.30, 0.1564
105.40, 0.1515
105.51, 0.1466
105.60, 0.1466
105.71, 0.1417
105.81, 0.1417
105.91, 0.1369
106.01, 0.1417
106.11, 0.1369
106.22, 0.1369
106.32, 0.1417
106.42, 0.1466
106.52, 0.1466
106.62, 0.1466
106.72, 0.1466
106.82, 0.1466
106.92, 0.1466
107.03, 0.1417
107.13, 0.1466
107.22, 0.1515
107.33, 0.1466
107.43, 0.1466
107.53, 0.1417
107.63, 0.1515
107.74, 0.1466
107.84, 0.1515
107.93, 0.1466
108.04, 0.1564
108.14, 0.1564
108.24, 0.1613
108.34, 0.1564
108.44, 0.1613
108.55, 0.1613
108.65, 0.1613
108.75, 0.1613
108.85, 0.1466
108.95, 0.1564
109.05, 0.1564
109.15, 0.1564
109.25, 0.1564
109.36, 0.1564
109.45, 0.1564
109.56, 0.1613
109.66, 0.1613
109.76, 0.1662
109.87, 0.1662
109.97, 0.1662
110.06, 0.1613
110.17, 0.1564
110.27, 0.1857
110.37, 0.2884
110.47, 0.4350
110.57, 0.5083
110.67, 0.5816
110.77, 0.6403
110.88, 0.6843
110.98, 0.7038
111.08, 0.7185
111.17, 0.7283
111.28, 0.7429
111.38, 0.7527
111.48, 0.7576
111.58, 0.7625
111.68, 0.7625
111.79, 0.7674
111.89, 0.7722
111.99, 0.7674
112.09, 0.7722
112.19, 0.7722
112.29, 0.7674
112.39, 0.7674
112.49, 0.7722
112.59, 0.7722
112.70, 0.7722
112.80, 0.7722
112.90, 0.7674
113.00, 0.7674
113.10, 0.7625
113.21, 0.7527
113.31, 0.7478
113.40, 0.7331
113.51, 0.7234
113.61, 0.7087
113.71, 0.6940
113.81, 0.6843
113.92, 0.6696
114.02, 0.6549
114.12, 0.6452
114.22, 0.6403
114.32, 0.6256
114.42, 0.6061
114.52, 0.5914
114.62, 0.5816
114.73, 0.5572
114.83, 0.5474
114.92, 0.5327
115.03, 0.5132
115.13, 0.5034
115.23, 0.4888
115.34, 0.4741
115.44, 0.4692
115.54, 0.4692
115.64, 0.4741
115.74, 0.4839
115.84, 0.4839
115.94, 0.4936
116.04, 0.4936
116.14, 0.4936
116.25, 0.4985
116.35, 0.4985
116.45, 0.4888
116.55, 0.4692
116.65, 0.4497
116.75, 0.4399
116.85, 0.4203
116.96, 0.4057
117.06, 0.3959
117.16, 0.3812
117.26, 0.3715
117.36, 0.3617
117.46, 0.3519
117.56, 0.3470
117.67, 0.3275
117.76, 0.3177
117.86, 0.3079
117.97, 0.2933
118.07, 0.2835
118.17, 0.2688
