Sensor Name: ttxN_test3
Initial Resistance: 90mOhm ohms
Start Time: 2024-11-07 20:23:32
Time (s), Voltage (V)
1.47, 0.2151
1.58, 0.2053
1.68, 0.2004
1.78, 0.1955
1.88, 0.2004
1.98, 0.1955
2.09, 0.2004
2.18, 0.2053
2.29, 0.2199
2.39, 0.2248
2.49, 0.2297
2.59, 0.2297
2.69, 0.2297
2.79, 0.2297
2.89, 0.2199
3.00, 0.2102
3.09, 0.2102
3.20, 0.2004
3.30, 0.1955
3.40, 0.1955
3.50, 0.1955
3.61, 0.1955
3.70, 0.2004
3.80, 0.2102
3.91, 0.2151
4.01, 0.2248
4.11, 0.2248
4.21, 0.2248
4.31, 0.2248
4.41, 0.2199
4.52, 0.2151
4.61, 0.2102
4.71, 0.2004
4.82, 0.2004
4.92, 0.1906
5.03, 0.1906
5.13, 0.1955
5.22, 0.2004
5.32, 0.2004
5.42, 0.2151
5.53, 0.2199
5.63, 0.2297
5.73, 0.2346
5.83, 0.2395
5.93, 0.2346
6.04, 0.2444
6.14, 0.2395
6.24, 0.2346
6.34, 0.2199
6.44, 0.2248
6.54, 0.2297
6.64, 0.2199
6.74, 0.2151
6.84, 0.2102
6.94, 0.2248
7.04, 0.2444
7.15, 0.2493
7.25, 0.2542
7.35, 0.2493
7.45, 0.2444
7.55, 0.2346
7.65, 0.2199
7.75, 0.2151
7.85, 0.2004
7.96, 0.2004
8.06, 0.1955
8.16, 0.1906
8.26, 0.2004
8.36, 0.2004
8.46, 0.2004
8.57, 0.2004
8.67, 0.2102
8.77, 0.2151
8.88, 0.2199
8.97, 0.2151
9.07, 0.2199
9.17, 0.2151
9.27, 0.2102
9.37, 0.2053
9.48, 0.2004
9.58, 0.2004
9.68, 0.1955
9.78, 0.1955
9.88, 0.2004
9.98, 0.2004
10.08, 0.2102
10.18, 0.2151
10.29, 0.2151
10.39, 0.2199
10.49, 0.2199
10.59, 0.2199
10.69, 0.2151
10.79, 0.2102
10.89, 0.2053
10.99, 0.2053
11.10, 0.1955
11.20, 0.1955
11.30, 0.1955
11.40, 0.1955
11.51, 0.1955
11.60, 0.2004
11.70, 0.2102
11.80, 0.2102
11.91, 0.2151
12.01, 0.2199
12.11, 0.2199
12.21, 0.2151
12.31, 0.2151
12.41, 0.2053
12.51, 0.2004
12.62, 0.2004
12.72, 0.1955
12.82, 0.1906
12.92, 0.1906
13.02, 0.1955
13.12, 0.2004
13.22, 0.2004
13.33, 0.2102
13.43, 0.2151
13.53, 0.2199
13.63, 0.2199
13.73, 0.2151
13.83, 0.2151
13.94, 0.2102
14.04, 0.2102
14.14, 0.2004
14.23, 0.2004
14.34, 0.1906
14.44, 0.1906
14.54, 0.1906
14.64, 0.1906
14.74, 0.1955
14.85, 0.2004
14.95, 0.2102
15.05, 0.2102
15.15, 0.2199
15.25, 0.2151
15.35, 0.2151
15.46, 0.2102
15.56, 0.2102
15.65, 0.1955
15.76, 0.1955
15.86, 0.1955
15.96, 0.1955
16.06, 0.1955
16.16, 0.1906
16.27, 0.1906
16.36, 0.1955
16.47, 0.2004
16.57, 0.2102
16.67, 0.2199
16.77, 0.2199
16.87, 0.2199
16.98, 0.2151
17.07, 0.2053
17.17, 0.1955
17.28, 0.1955
17.38, 0.1857
17.48, 0.1808
17.58, 0.1857
17.68, 0.1857
17.78, 0.1906
17.89, 0.1857
17.98, 0.2004
18.09, 0.2004
18.19, 0.2102
18.29, 0.2151
18.39, 0.2199
18.49, 0.2151
18.59, 0.2102
18.69, 0.2004
18.80, 0.1906
18.90, 0.1808
19.00, 0.1808
19.10, 0.1711
19.20, 0.1662
19.30, 0.1711
19.40, 0.1711
19.50, 0.1711
19.61, 0.1808
19.71, 0.1906
19.81, 0.2004
19.91, 0.2102
20.01, 0.2053
20.11, 0.2102
20.22, 0.2004
20.32, 0.1906
20.41, 0.1857
20.52, 0.1808
20.62, 0.1711
20.72, 0.1711
20.82, 0.1662
20.92, 0.1662
21.02, 0.1711
21.13, 0.1808
21.23, 0.1857
21.33, 0.1955
21.43, 0.2004
21.53, 0.2053
21.63, 0.2053
21.74, 0.2053
21.84, 0.2004
21.93, 0.1955
22.04, 0.1808
22.14, 0.1808
22.24, 0.1711
22.34, 0.1711
22.44, 0.1662
22.54, 0.1662
22.64, 0.1662
22.75, 0.1760
22.85, 0.1857
22.95, 0.1955
23.05, 0.2004
23.15, 0.2053
23.25, 0.2053
23.36, 0.2053
23.46, 0.2004
23.56, 0.1906
23.66, 0.1808
23.76, 0.1760
23.86, 0.1662
23.96, 0.1662
24.06, 0.1711
24.16, 0.1711
24.26, 0.1711
24.37, 0.1808
