Sensor Name: ttrs
Initial Resistance: 80 ohms
Start Time: 2024-11-13 10:43:53
Time (s), Voltage (V)
2.68, 14.5894
2.75, 14.5406
2.77, 14.5699
2.80, 14.5308
2.83, 14.7165
2.85, 14.5308
2.87, 14.5943
2.89, 14.5601
2.92, 14.4624
2.94, 14.5797
2.97, 14.4868
3.00, 14.5699
3.02, 14.5992
3.05, 14.6090
3.07, 14.7703
3.10, 14.5699
3.12, 14.5210
3.15, 14.5748
3.17, 14.7556
3.19, 14.5894
3.21, 14.5748
3.27, 14.6090
3.30, 14.7801
3.37, 14.6041
3.44, 14.5894
3.50, 14.6237
3.54, 14.6139
3.56, 14.6139
3.58, 14.6139
3.60, 14.4477
3.62, 14.5943
3.64, 14.6285
3.65, 14.6188
3.67, 14.4673
3.69, 14.6285
3.71, 14.6334
3.79, 14.6383
3.90, 14.6334
4.00, 14.6530
4.10, 14.6579
4.19, 14.6579
4.29, 14.6676
4.40, 14.6383
4.51, 14.6432
4.60, 14.6530
4.70, 14.7165
4.79, 14.6481
4.89, 14.6432
5.00, 14.6676
5.10, 14.6921
5.19, 14.6481
5.30, 14.6970
5.40, 14.6970
5.50, 14.6970
5.59, 14.7019
5.69, 14.7067
5.80, 14.7263
5.89, 14.7507
6.00, 14.7361
6.10, 14.7458
6.20, 14.8289
6.30, 14.6725
6.39, 14.7361
6.50, 14.7556
6.60, 14.7801
6.69, 14.7801
6.79, 14.7752
6.90, 14.7801
7.00, 14.8729
7.11, 14.9462
7.20, 14.7801
7.30, 14.8827
7.39, 14.8338
7.50, 15.0929
7.60, 15.2639
7.70, 15.2737
7.79, 15.2493
7.90, 15.1222
7.99, 15.1466
8.10, 15.1466
8.20, 15.0929
8.30, 15.2542
8.39, 15.0929
8.50, 15.0684
8.62, 15.0635
8.70, 15.0098
8.80, 15.0929
8.89, 15.1173
9.00, 15.0929
9.10, 15.0831
9.20, 15.0782
9.29, 15.0098
9.39, 15.0098
9.50, 15.0929
9.60, 15.0098
9.69, 14.9902
9.80, 14.9804
9.90, 15.0635
10.00, 15.0782
10.10, 15.0049
10.20, 14.9756
10.29, 15.0098
10.40, 15.0098
10.50, 15.0098
10.59, 15.0000
10.70, 15.0098
10.80, 15.0098
10.89, 15.0098
10.99, 15.0831
11.10, 15.1173
11.19, 15.0929
11.30, 15.0978
11.40, 15.1124
11.50, 15.1173
11.59, 15.1613
11.70, 15.1955
11.79, 15.1613
11.89, 15.2346
12.00, 15.2493
12.09, 15.2542
12.20, 15.2737
12.29, 15.3275
12.40, 15.3128
12.50, 15.2639
12.60, 15.3275
12.69, 15.2444
12.80, 15.2981
12.90, 15.2493
12.99, 15.3763
13.10, 15.4985
13.19, 15.3715
13.30, 15.2737
13.40, 15.2786
13.50, 15.3030
13.60, 15.2981
13.69, 15.2786
13.80, 15.2933
13.90, 15.2346
13.99, 15.1369
14.09, 15.2493
14.19, 15.3275
14.30, 15.3763
14.39, 15.4057
14.50, 15.3519
14.60, 15.4008
14.70, 15.3910
14.80, 15.3763
14.89, 15.3519
14.99, 15.3568
15.09, 15.3666
15.20, 15.3812
15.30, 15.3568
15.40, 15.3763
15.50, 15.4057
15.59, 15.3715
15.70, 15.4106
15.79, 15.5621
15.89, 15.4545
15.99, 15.4154
16.09, 15.4203
16.19, 15.4790
16.29, 15.4545
16.40, 15.4888
16.50, 15.3421
16.59, 15.4497
16.70, 15.4252
16.80, 15.4154
16.90, 15.5083
17.00, 15.5865
17.09, 15.4203
17.20, 15.4057
17.30, 15.4839
17.40, 15.5523
17.50, 15.4790
17.60, 15.2639
17.70, 15.2737
17.79, 15.2053
17.89, 15.3226
17.99, 15.3128
18.09, 15.2933
18.19, 15.1369
18.29, 15.3226
18.40, 15.3617
18.50, 15.2933
18.59, 15.2981
18.70, 15.3177
18.80, 15.4008
18.90, 14.7458
18.99, 15.1173
19.09, 15.2053
19.19, 15.3226
19.30, 0.0000
19.39, 0.0000
19.49, 0.0000
19.60, 0.0000
19.69, 0.0000
19.80, 0.0000
19.89, 0.0000
20.00, 0.0000
20.10, 0.0000
20.20, 0.0000
20.30, 0.0000
20.39, 0.0000
20.50, 0.0000
20.60, 0.0000
20.70, 0.0000
20.79, 0.0000
20.90, 0.0000
20.99, 0.0000
21.09, 0.0000
21.20, 0.0000
21.29, 0.0000
21.40, 0.0000
21.50, 0.0000
21.60, 0.0000
21.69, 0.0000
21.79, 0.0000
21.90, 0.0000
21.99, 0.0000
22.10, 0.0000
22.20, 0.0000
22.30, 0.0000
22.40, 0.0000
22.49, 0.0000
22.60, 0.0000
22.70, 0.0000
22.79, 0.0000
22.90, 0.0000
23.00, 0.0000
23.09, 0.0000
23.20, 0.0000
23.30, 0.0000
23.39, 0.0000
23.50, 0.0000
23.59, 0.0000
23.70, 0.0000
23.79, 0.0000
23.89, 0.0000
24.00, 0.0000
24.10, 0.0000
24.19, 0.0000
24.30, 0.0000
24.39, 0.0000
24.50, 0.0000
24.60, 0.0000
24.69, 0.0000
24.79, 0.0000
24.90, 0.0000
24.99, 0.0000
25.10, 0.0000
25.20, 0.0000
25.30, 0.0000
25.40, 0.0000
25.50, 0.0000
25.59, 0.0000
25.70, 0.0000
25.79, 6.7009
25.89, 7.1163
26.00, 7.4438
26.10, 8.1476
26.20, 8.5484
26.30, 9.9804
26.39, 20.0147
26.49, 20.0147
26.59, 20.0147
26.69, 20.0049
26.80, 20.0147
26.89, 20.0147
26.99, 17.9081
27.10, 15.8113
27.19, 16.4516
27.29, 16.0362
27.40, 14.4966
27.50, 13.7488
27.59, 13.9980
27.69, 12.9032
27.79, 12.7419
27.89, 13.8465
28.00, 13.6168
28.10, 13.7977
28.20, 13.8905
28.29, 13.8416
28.39, 14.0665
28.50, 13.9296
28.59, 16.1975
28.69, 16.1632
28.79, 15.7722
28.89, 15.5621
28.99, 16.3148
29.09, 16.1926
29.19, 15.8944
29.29, 10.1662
29.40, 8.3627
29.50, 7.8201
29.59, 7.5024
29.70, 7.2874
29.79, 7.3851
29.90, 7.2776
30.00, 7.2483
30.10, 7.2581
30.20, 7.1994
30.29, 7.1163
30.39, 6.1681
30.50, 10.1662
30.60, 16.8133
30.70, 0.0000
30.79, 0.0000
30.89, 0.0000
31.00, 0.0000
31.09, 0.0000
31.20, 0.0000
31.30, 0.0000
31.40, 0.0000
31.50, 0.0000
31.60, 0.0000
31.69, 0.0000
31.79, 0.0000
31.90, 0.0000
32.00, 0.0000
32.09, 0.0000
32.20, 0.0049
32.29, 0.3324
32.40, 0.2053
32.49, 0.0538
32.60, 0.0782
32.70, 0.0000
32.80, 0.0000
32.90, 0.0000
32.99, 0.0000
33.09, 0.0000
33.20, 0.0000
33.29, 0.0000
33.39, 0.0000
33.50, 0.0000
33.60, 0.0000
33.69, 0.0000
33.80, 0.0000
33.89, 0.0000
34.00, 0.0000
34.09, 0.0000
34.20, 0.0000
34.30, 0.0000
34.39, 0.0000
34.50, 0.0000
34.60, 0.0000
34.69, 0.0000
34.79, 0.0000
34.90, 0.0000
35.00, 0.0000
35.10, 0.0000
35.22, 0.0000
35.29, 0.0000
35.40, 0.0000
35.50, 0.0000
35.59, 0.0000
35.70, 0.0000
35.79, 0.0000
35.89, 0.0000
35.99, 0.0000
36.10, 0.0000
36.20, 0.0000
36.29, 0.0000
36.40, 0.0000
36.50, 0.0000
36.59, 0.0000
36.69, 0.0000
36.79, 0.0000
36.89, 0.0000
36.99, 0.0000
37.10, 0.0000
37.19, 0.0000
37.30, 0.0000
37.40, 0.0000
37.50, 0.0000
37.59, 0.0000
37.69, 0.0000
37.79, 0.0000
37.90, 0.0000
38.00, 0.0000
38.09, 0.0000
38.20, 0.0000
38.29, 0.0000
38.39, 0.0000
38.50, 0.0000
38.60, 0.0000
38.70, 0.0000
38.79, 0.0000
38.89, 0.0000
39.00, 0.0000
39.10, 0.0000
39.19, 0.0000
39.29, 0.0000
39.39, 0.0000
39.50, 0.0000
39.59, 0.0000
39.69, 0.0000
39.79, 0.0000
39.89, 0.0000
40.00, 0.0000
40.09, 0.0000
40.19, 0.0000
40.29, 0.0000
40.40, 0.0000
40.50, 0.0000
40.59, 0.0000
40.69, 0.0000
40.80, 0.0000
40.89, 0.0000
40.99, 0.0000
41.09, 0.0000
41.20, 0.0000
41.29, 0.0000
41.39, 0.0000
41.49, 0.0000
41.60, 0.0000
41.70, 0.0000
41.80, 0.0000
41.89, 0.0000
41.99, 0.0000
42.09, 0.0000
42.20, 0.0000
42.29, 0.0000
42.40, 0.0000
42.50, 0.0000
42.59, 0.0000
42.69, 0.0000
42.80, 0.0000
42.89, 0.0000
43.00, 0.0000
43.10, 0.0000
43.19, 0.0440
43.29, 0.0000
43.39, 0.0000
43.49, 0.0000
43.59, 0.0000
43.69, 0.0000
43.79, 0.0000
43.90, 0.0000
44.00, 0.0000
