Sensor Name: uuy
Initial Resistance: 90 ohms
Start Time: 2024-11-13 10:46:04
Time (s), Voltage (V)
0.55, 0.0000
0.76, 0.0000
0.78, 0.0000
0.95, 0.0000
1.08, 0.0000
1.10, 0.0000
1.12, 0.0000
1.15, 0.0000
1.17, 0.0000
1.20, 0.0000
1.22, 0.0000
1.24, 0.0000
1.26, 0.0000
1.33, 0.0000
1.43, 0.0000
1.54, 0.0000
1.64, 0.0000
1.74, 0.0000
1.84, 0.0000
1.93, 0.0000
2.04, 0.0000
2.13, 0.0000
2.23, 0.0000
2.33, 0.0000
2.44, 0.0000
2.53, 0.0000
2.64, 0.0000
2.73, 0.0000
2.83, 0.0000
2.93, 0.0000
3.03, 0.0000
3.13, 0.0000
3.23, 0.0000
3.33, 0.0000
3.43, 0.0000
3.53, 0.0000
3.63, 0.0000
3.73, 0.0000
3.83, 0.0000
3.93, 0.0000
4.03, 0.0000
4.14, 0.0000
4.24, 0.0000
4.33, 0.0000
4.44, 0.0000
4.53, 0.0000
4.64, 0.0000
4.73, 0.0000
4.84, 0.0000
4.93, 0.0000
5.04, 0.0000
5.13, 0.0000
5.23, 0.0000
5.33, 0.0000
5.43, 0.0000
5.53, 0.0000
5.63, 0.0000
5.73, 0.0000
5.83, 0.0000
5.93, 0.0000
6.03, 0.0000
6.13, 0.0000
6.23, 0.0000
6.33, 0.0000
6.43, 0.0000
6.53, 0.0000
6.63, 0.0000
6.74, 0.0000
6.83, 0.0000
6.94, 0.0000
7.03, 0.0782
7.13, 0.2884
7.23, 0.5376
7.33, 0.7331
7.44, 0.9140
7.53, 1.1046
7.63, 1.2512
7.73, 1.2805
7.84, 1.4272
7.93, 1.4956
8.03, 1.5738
8.13, 1.6422
8.24, 1.6813
8.33, 1.7204
8.43, 1.7986
8.53, 1.7937
8.63, 1.7986
8.73, 1.8280
8.83, 1.8475
8.93, 1.8719
9.04, 1.8671
9.13, 1.8866
9.23, 1.9110
9.34, 1.9013
9.44, 1.9110
9.53, 1.9550
9.63, 1.9257
9.74, 1.9550
9.84, 1.9501
9.93, 1.9404
10.03, 1.9648
10.13, 1.9550
10.23, 1.9013
10.34, 1.9746
10.43, 1.9697
10.53, 1.9844
10.63, 1.9795
10.73, 1.9746
10.84, 1.9844
10.93, 1.9844
11.03, 1.9941
11.14, 1.9990
11.23, 1.9892
11.34, 1.9892
11.43, 1.9892
11.53, 2.0088
11.63, 1.9844
11.73, 2.0088
11.83, 2.0674
11.93, 2.0186
12.03, 2.0235
12.13, 2.0235
12.24, 2.0235
12.33, 2.0381
12.43, 2.0235
12.53, 2.0283
12.63, 2.0283
12.74, 2.0235
12.83, 2.0235
12.96, 2.0283
13.03, 2.0137
13.13, 2.0088
13.23, 2.0039
13.33, 1.9844
13.43, 1.9892
13.53, 1.9746
13.63, 1.9746
13.73, 1.9795
13.83, 2.0332
13.94, 1.9599
14.03, 1.9648
14.13, 1.9550
14.23, 1.9550
14.33, 1.9550
14.43, 1.9355
14.53, 1.9306
14.63, 1.9501
14.73, 1.9550
14.83, 1.9599
14.94, 1.9306
15.03, 1.9208
15.13, 1.9110
15.23, 1.9062
15.33, 1.9013
15.43, 1.8768
15.53, 1.8524
15.63, 1.8671
15.73, 1.8280
15.83, 1.8182
15.93, 1.7986
16.03, 1.7937
16.13, 1.7791
16.23, 1.7546
16.33, 1.7351
16.43, 1.7204
16.53, 1.7107
16.63, 1.6862
16.73, 1.6764
16.83, 1.6569
16.93, 1.6520
17.03, 1.6129
17.13, 1.6325
17.23, 1.6178
17.33, 1.6178
17.43, 1.6129
17.53, 1.6129
17.63, 1.5689
17.73, 1.5738
17.83, 1.5640
17.93, 1.5640
18.03, 1.5591
18.13, 1.5298
18.23, 1.5200
18.33, 1.4663
18.43, 1.4907
18.53, 1.4809
18.63, 1.4418
18.73, 1.4174
18.83, 1.4174
18.93, 1.3343
19.03, 1.3148
19.13, 1.2708
19.23, 1.2268
19.33, 1.1975
19.43, 1.1730
19.53, 1.1290
19.63, 1.0948
19.73, 1.0508
19.83, 1.0557
19.93, 1.0166
20.03, 0.9971
20.13, 0.9433
20.23, 0.9140
20.33, 0.8847
20.43, 0.8602
20.53, 0.8065
20.63, 0.7722
20.73, 0.7429
20.83, 0.6940
20.93, 0.6598
21.03, 0.6256
21.13, 0.6207
21.23, 0.5474
21.33, 0.6256
21.43, 0.4985
21.53, 0.4692
21.63, 0.4545
21.73, 0.4154
21.83, 0.3959
21.93, 0.3861
22.04, 0.3568
22.13, 0.3275
22.23, 0.3128
22.33, 0.2786
22.43, 0.2542
22.53, 0.2199
22.63, 0.1808
22.73, 0.1564
22.83, 0.1320
22.93, 0.0978
23.03, 0.0782
23.13, 0.0733
23.23, 0.0538
23.33, 0.0293
23.43, 0.0049
23.53, 0.0049
23.63, 0.0000
23.73, 0.0000
23.83, 0.0000
23.93, 0.0000
24.03, 0.0000
24.13, 0.0000
24.23, 0.0000
24.33, 0.0000
24.43, 0.0000
24.53, 0.0000
24.63, 0.0000
24.73, 0.0000
24.83, 0.0000
24.93, 0.0000
25.03, 0.0000
25.13, 0.0000
25.23, 0.0000
25.33, 0.0000
25.43, 0.0000
25.53, 0.0000
25.63, 0.0000
25.73, 0.0000
25.83, 0.0000
25.93, 0.0000
26.03, 0.0000
26.13, 0.0000
26.23, 0.0000
26.33, 0.0000
26.43, 0.0000
26.53, 0.0000
26.63, 0.0000
26.73, 0.0000
26.83, 0.0000
26.93, 0.0000
27.03, 0.0000
27.13, 0.0000
27.23, 0.0000
27.33, 0.0000
27.43, 0.0000
27.53, 0.0000
27.63, 0.0000
27.73, 0.0000
27.83, 0.0000
27.93, 0.0000
28.03, 0.0000
28.13, 0.0000
28.23, 0.0000
28.33, 0.0000
28.43, 0.0000
28.53, 0.0000
28.63, 0.0000
28.73, 0.0880
28.83, 0.3910
28.93, 0.6207
29.03, 0.7869
29.13, 0.9140
29.23, 1.0166
29.33, 1.0997
29.43, 1.1730
29.53, 1.2317
29.63, 1.2561
29.73, 1.2757
29.83, 1.3294
29.93, 1.3490
30.03, 1.3832
30.13, 1.3832
30.23, 1.4125
30.33, 1.4370
30.43, 1.4223
30.53, 1.4809
30.64, 1.4370
30.74, 1.4370
30.83, 1.4370
30.93, 1.4418
31.03, 1.4321
31.13, 1.4174
31.23, 1.4223
31.33, 1.4027
31.43, 1.4076
31.53, 1.3832
31.63, 1.3832
31.73, 1.3832
31.83, 1.4027
31.93, 1.3587
32.03, 1.3587
32.13, 1.3441
32.23, 1.3587
32.33, 1.3294
32.43, 1.3294
32.53, 1.3294
32.63, 1.3294
32.73, 1.3001
32.83, 1.3099
32.93, 1.2952
33.03, 1.2072
33.13, 1.2512
33.23, 1.2512
33.33, 1.2317
33.43, 1.1975
33.53, 1.1779
33.63, 1.1730
33.73, 1.1632
33.83, 1.1241
33.93, 1.0899
34.03, 1.0166
34.13, 1.0459
34.23, 1.0166
34.33, 1.0020
34.43, 1.0166
34.53, 0.9238
34.63, 0.8944
34.73, 0.8602
34.83, 0.8358
34.93, 0.7576
35.03, 0.7576
35.13, 0.7136
35.23, 0.7038
35.33, 0.6745
35.43, 0.6354
35.53, 0.6256
35.63, 0.5963
35.73, 0.5718
35.83, 0.5474
35.93, 0.5279
36.05, 0.5230
36.14, 0.4839
36.23, 0.4692
36.33, 0.4399
36.43, 0.4154
36.53, 0.3910
36.63, 0.3812
36.73, 0.3324
36.83, 0.3372
36.93, 0.3079
37.03, 0.2884
37.13, 0.2542
37.23, 0.2542
37.34, 0.2395
37.43, 0.2297
37.53, 0.2053
37.63, 0.2102
37.73, 0.2004
37.83, 0.1808
37.93, 0.1466
38.03, 0.1466
38.13, 0.0978
38.23, 0.0880
38.33, 0.0978
38.43, 0.0782
38.53, 0.0782
38.63, 0.0635
38.73, 0.0538
38.84, 0.0538
38.93, 0.0244
39.04, 0.0098
39.13, 0.0000
39.23, 0.0000
39.33, 0.0000
39.43, 0.0000
39.53, 0.0000
39.63, 0.0000
39.73, 0.0000
39.83, 0.0000
39.93, 0.0000
40.03, 0.0000
40.13, 0.0000
40.23, 0.0000
40.33, 0.0000
40.43, 0.0000
40.53, 0.0000
40.63, 0.0000
40.73, 0.0000
40.83, 0.0000
40.93, 0.0000
41.03, 0.0000
41.13, 0.0000
41.23, 0.0000
41.33, 0.0000
41.43, 0.0000
41.53, 0.0000
41.63, 0.0000
41.73, 0.0000
41.83, 0.0000
41.93, 0.0000
42.03, 0.0000
42.13, 0.0000
42.23, 0.0000
42.33, 0.0000
42.43, 0.0000
42.54, 0.0000
42.63, 0.0000
42.73, 0.0000
42.83, 0.0000
42.93, 0.0000
43.03, 0.0000
43.13, 0.0000
43.23, 0.0000
43.33, 0.0000
43.43, 0.0000
43.53, 0.0000
43.63, 0.0000
43.73, 0.0000
43.83, 0.0000
43.93, 0.0000
44.03, 0.0000
44.13, 0.0000
44.23, 0.0000
44.33, 0.0000
44.43, 0.0000
44.53, 0.0000
44.63, 0.0000
44.73, 0.0000
44.83, 0.0000
44.93, 0.0000
45.03, 0.0000
45.13, 0.0000
45.23, 0.0000
45.33, 0.0000
45.43, 0.0000
45.53, 0.0000
45.63, 0.0000
45.73, 0.0000
45.83, 0.0000
45.93, 0.0000
46.03, 0.0000
46.13, 0.0000
46.23, 0.0000
46.33, 0.0000
46.43, 0.0000
46.53, 0.0000
46.63, 0.0000
46.73, 0.0000
46.83, 0.0000
46.93, 0.0000
47.04, 0.0000
47.13, 0.0000
47.23, 0.0000
47.33, 0.0000
47.43, 0.0000
47.53, 0.0000
47.64, 0.0000
47.73, 0.0000
47.83, 0.0000
47.93, 0.0000
48.03, 0.0000
48.13, 0.0000
48.23, 0.0000
48.33, 0.0000
48.43, 0.0000
48.53, 0.0000
48.63, 0.0000
48.73, 0.0000
48.83, 0.0000
48.93, 0.0000
49.03, 0.0000
49.13, 0.0000
49.23, 0.0000
49.33, 0.0000
49.43, 0.0000
49.53, 0.0000
49.63, 0.0000
49.73, 0.0000
49.83, 0.0000
49.93, 0.0000
50.03, 0.0000
50.13, 0.0000
50.23, 0.0000
50.33, 0.0000
50.43, 0.0000
50.53, 0.0000
50.63, 0.0000
50.73, 0.0000
50.83, 0.0000
50.93, 0.0000
51.03, 0.0000
51.13, 0.0000
51.23, 0.0000
51.33, 0.0000
51.43, 0.0000
51.53, 0.0000
51.63, 0.0000
51.73, 0.0000
51.83, 0.0000
51.93, 0.0000
52.03, 0.0000
52.13, 0.0000
52.23, 0.0000
52.33, 0.0000
52.43, 0.0000
52.53, 0.0000
52.63, 0.0000
52.73, 0.0000
52.83, 0.0000
52.93, 0.0000
53.03, 0.0000
53.13, 0.0000
53.23, 0.0000
53.33, 0.0000
53.43, 0.0000
53.53, 0.0000
53.63, 0.0000
53.73, 0.0000
53.83, 0.0000
53.93, 0.0000
54.03, 0.0000
54.13, 0.0000
54.23, 0.0000
54.33, 0.0000
54.43, 0.0000
54.53, 0.0000
54.63, 0.0000
54.73, 0.0000
54.83, 0.0000
54.93, 0.0831
55.03, 0.3324
55.13, 0.5621
