Sensor Name: tty
Initial Resistance: 90 ohms
Start Time: 2024-11-13 10:48:52
Time (s), Voltage (V)
0.72, 0.0000
0.79, 0.0000
0.98, 0.0000
1.12, 0.0000
1.14, 0.0000
1.16, 0.0000
1.18, 0.0000
1.20, 0.0000
1.23, 0.0000
1.25, 0.0000
1.28, 0.0000
1.30, 0.0000
1.40, 0.0000
1.49, 0.0000
1.60, 0.0000
1.70, 0.0000
1.80, 0.0000
1.90, 0.0000
2.00, 0.0000
2.10, 0.0000
2.20, 0.0000
2.30, 0.0000
2.40, 0.0000
2.50, 0.0000
2.59, 0.0000
2.70, 0.0000
2.81, 0.0000
2.90, 0.0000
2.99, 0.0000
3.10, 0.0000
3.20, 0.0000
3.30, 0.0000
3.40, 0.0000
3.50, 0.0000
3.60, 0.0000
3.70, 0.0000
3.80, 0.0000
3.89, 0.0000
4.00, 0.0000
4.09, 0.0000
4.20, 0.0000
4.29, 0.0000
4.39, 0.0000
4.49, 0.0000
4.59, 0.0000
4.69, 0.0000
4.80, 0.0000
4.89, 0.0000
4.99, 0.0000
5.10, 0.0000
5.20, 0.0000
5.29, 0.1075
5.39, 0.2639
5.50, 0.3568
5.60, 0.4497
5.69, 0.6598
5.79, 0.5816
5.89, 0.6305
6.00, 0.6696
6.10, 0.6109
6.19, 0.7185
6.30, 0.7869
6.39, 0.7722
6.49, 0.7918
6.60, 0.8162
6.70, 0.8309
6.79, 0.8358
6.89, 0.8407
7.00, 0.8504
7.09, 0.8602
7.19, 0.8602
7.30, 0.8602
7.39, 0.8602
7.50, 0.8651
7.59, 0.8798
7.70, 0.8651
7.79, 0.8895
7.89, 0.8749
7.99, 0.8847
8.09, 0.8553
8.19, 0.9531
8.30, 0.8895
8.39, 0.8944
8.50, 0.9042
8.59, 0.9140
8.70, 0.9140
8.80, 0.9140
8.89, 0.9189
8.99, 0.9286
9.10, 0.9238
9.20, 0.9286
9.30, 0.9238
9.40, 0.9238
9.50, 0.9286
9.59, 0.9286
9.69, 0.9238
9.80, 0.9140
9.90, 0.9140
9.99, 0.9286
10.10, 0.9286
10.20, 0.9140
10.30, 0.9140
10.40, 0.9140
10.49, 0.9042
10.60, 0.9091
10.69, 0.8993
10.80, 0.8895
10.90, 0.8944
10.99, 0.8944
11.10, 0.8944
11.20, 0.8798
11.29, 0.8798
11.39, 0.8847
11.50, 0.8749
11.59, 0.8651
11.69, 0.8602
11.80, 0.8602
11.90, 0.8504
12.00, 0.8407
12.09, 0.7478
12.19, 0.8113
12.29, 0.8113
12.40, 0.7967
12.50, 0.7771
12.59, 0.7674
12.70, 0.7576
12.80, 0.7429
12.90, 0.7722
13.02, 0.7038
13.11, 0.6696
13.20, 0.6403
13.29, 0.6158
13.39, 0.6158
13.49, 0.5718
13.60, 0.5474
13.70, 0.5230
13.80, 0.4790
13.90, 0.4497
14.00, 0.4106
14.10, 0.3910
14.19, 0.3568
14.29, 0.3177
14.39, 0.3128
14.50, 0.2786
14.60, 0.2444
14.70, 0.2346
14.79, 0.2297
14.89, 0.2102
15.00, 0.1124
15.10, 0.1564
15.20, 0.1320
15.29, 0.1075
15.40, 0.1026
15.50, 0.0880
15.60, 0.1662
15.70, 0.0635
15.80, 0.0635
15.89, 0.0147
15.99, 0.0049
16.10, 0.0049
16.20, 0.0000
16.30, 0.0000
16.39, 0.0000
16.49, 0.0000
16.60, 0.0000
16.69, 0.0000
16.79, 0.0000
16.89, 0.0000
17.00, 0.0000
17.09, 0.0000
17.20, 0.0000
17.29, 0.0000
17.40, 0.0000
17.50, 0.0000
17.60, 0.0000
17.71, 0.1564
17.80, 0.3910
17.90, 0.6354
18.00, 0.8944
18.09, 1.1193
18.19, 1.2708
18.30, 1.4761
18.39, 1.6129
18.53, 1.6960
18.61, 1.7986
18.69, 1.8231
18.79, 1.8866
18.89, 1.9257
18.99, 1.9550
19.09, 1.9648
19.20, 2.0137
19.30, 1.9844
19.40, 2.0235
19.49, 2.0283
19.59, 2.0430
19.69, 2.0332
19.80, 2.0332
19.90, 2.0430
19.99, 2.0039
20.10, 2.0186
20.20, 2.0039
20.29, 1.9990
20.40, 2.0088
20.49, 2.0039
20.60, 1.9844
20.69, 2.0088
20.79, 1.9697
20.90, 1.9550
20.99, 1.9550
21.09, 1.9550
21.19, 1.9501
21.29, 1.9306
21.39, 1.9110
21.49, 1.8866
21.60, 1.8964
21.69, 1.8768
21.79, 1.8573
21.90, 1.7986
22.00, 1.8719
22.09, 1.8280
22.19, 1.8133
22.29, 1.7986
22.39, 1.7889
22.49, 1.8768
22.59, 1.7351
22.69, 1.7107
22.82, 1.6960
22.90, 1.6764
23.00, 1.6520
23.10, 1.6422
23.20, 1.6276
23.29, 1.5885
23.39, 1.5934
23.50, 1.6178
23.60, 1.5543
23.70, 1.5200
23.80, 1.4956
23.89, 1.4858
23.99, 1.4565
24.09, 1.3685
24.19, 1.4076
24.29, 1.4125
24.39, 1.3490
24.49, 1.3196
24.59, 1.3196
24.69, 1.1975
24.79, 1.2268
24.89, 1.2512
25.00, 1.1975
25.10, 1.1437
25.20, 1.1584
25.29, 1.1095
25.40, 1.0899
25.50, 1.1046
25.59, 1.0215
25.69, 1.0020
25.80, 0.9677
25.89, 0.9384
25.99, 0.9238
26.09, 0.8700
26.19, 0.8602
26.29, 0.7722
26.39, 0.7967
26.49, 0.7967
26.59, 0.7576
26.69, 0.7234
26.79, 0.7038
26.89, 0.6843
26.99, 0.6452
27.09, 0.6256
27.19, 0.6012
27.29, 0.5963
27.39, 0.5914
27.49, 0.4790
27.59, 0.5181
27.69, 0.5132
27.80, 0.4888
27.89, 0.3959
27.99, 0.4594
28.09, 0.4203
28.19, 0.4106
28.29, 0.3910
28.39, 0.3861
28.49, 0.3666
28.59, 0.3421
28.70, 0.3177
28.79, 0.3128
28.89, 0.2933
