Time, Voltage
2024-11-26 17:53:50.828607, 2590.48
2024-11-26 17:53:50.927925, 2579.36
2024-11-26 17:53:51.028143, 2569.51
2024-11-26 17:53:51.143177, 2560.53
2024-11-26 17:53:51.263735, 2552.58
2024-11-26 17:53:51.374629, 2545.19
2024-11-26 17:53:51.490464, 2538.48
2024-11-26 17:53:51.597485, 2532.25
2024-11-26 17:53:51.709863, 2526.03
2024-11-26 17:53:51.826092, 2520.72
2024-11-26 17:53:51.941707, 2516.00
2024-11-26 17:53:52.061501, 2511.39
2024-11-26 17:53:52.174683, 2507.41
2024-11-26 17:53:52.290857, 2504.38
2024-11-26 17:53:52.414193, 2501.39
2024-11-26 17:53:52.524971, 2499.31
2024-11-26 17:53:52.642151, 2497.31
2024-11-26 17:53:52.758347, 2495.40
2024-11-26 17:53:52.874379, 2493.63
2024-11-26 17:53:52.991240, 2491.91
2024-11-26 17:53:53.108547, 2490.52
2024-11-26 17:53:53.224310, 2489.53
2024-11-26 17:53:53.340155, 2488.53
2024-11-26 17:53:53.456450, 2487.09
2024-11-26 17:53:53.572175, 2485.40
2024-11-26 17:53:53.674679, 2483.63
2024-11-26 17:53:53.791168, 2482.11
2024-11-26 17:53:53.905768, 2480.74
2024-11-26 17:53:54.022206, 2480.14
2024-11-26 17:53:54.138006, 2479.39
2024-11-26 17:53:54.261828, 2478.91
2024-11-26 17:53:54.371657, 2478.26
2024-11-26 17:53:54.489023, 2477.86
2024-11-26 17:53:54.622128, 2477.43
2024-11-26 17:53:54.738416, 2477.52
2024-11-26 17:53:54.855041, 2477.70
2024-11-26 17:53:54.971556, 2478.05
2024-11-26 17:53:55.087378, 2478.40
2024-11-26 17:53:55.204319, 2478.92
2024-11-26 17:53:55.319283, 2479.58
2024-11-26 17:53:55.437047, 2479.99
2024-11-26 17:53:55.553422, 2480.29
2024-11-26 17:53:55.669273, 2480.48
2024-11-26 17:53:55.786860, 2480.70
2024-11-26 17:53:55.903286, 2480.98
2024-11-26 17:53:56.018575, 2481.07
2024-11-26 17:53:56.135024, 2480.97
2024-11-26 17:53:56.252521, 2480.97
2024-11-26 17:53:56.367930, 2480.76
2024-11-26 17:53:56.485998, 2480.60
2024-11-26 17:53:56.603121, 2480.44
2024-11-26 17:53:56.719378, 2480.34
2024-11-26 17:53:56.837265, 2479.95
2024-11-26 17:53:56.954010, 2479.44
2024-11-26 17:53:57.068354, 2478.89
2024-11-26 17:53:57.186961, 2478.43
2024-11-26 17:53:57.301736, 2478.14
2024-11-26 17:53:57.418496, 2477.30
2024-11-26 17:53:57.533544, 2476.78
2024-11-26 17:53:57.652758, 2476.14
2024-11-26 17:53:57.769233, 2475.09
2024-11-26 17:53:57.885397, 2474.29
2024-11-26 17:53:58.001292, 2473.61
2024-11-26 17:53:58.117484, 2472.92
2024-11-26 17:53:58.235121, 2472.67
2024-11-26 17:53:58.349620, 2472.42
2024-11-26 17:53:58.454461, 2472.19
2024-11-26 17:53:58.570738, 2472.39
2024-11-26 17:53:58.683060, 2472.13
2024-11-26 17:53:58.799550, 2471.69
2024-11-26 17:53:58.917695, 2471.98
2024-11-26 17:53:59.033076, 2472.55
2024-11-26 17:53:59.149152, 2473.36
2024-11-26 17:53:59.267892, 2474.12
2024-11-26 17:53:59.382705, 2474.25
2024-11-26 17:53:59.499480, 2473.75
2024-11-26 17:53:59.615800, 2472.94
2024-11-26 17:53:59.732797, 2472.71
2024-11-26 17:53:59.849725, 2472.59
2024-11-26 17:53:59.966141, 2472.83
2024-11-26 17:54:00.081409, 2473.14
2024-11-26 17:54:00.198221, 2472.66
2024-11-26 17:54:00.313800, 2472.38
2024-11-26 17:54:00.431572, 2472.33
2024-11-26 17:54:00.549916, 2472.44
2024-11-26 17:54:00.665355, 2473.18
2024-11-26 17:54:00.780997, 2474.29
2024-11-26 17:54:00.897562, 2474.96
2024-11-26 17:54:01.013677, 2475.67
2024-11-26 17:54:01.130382, 2476.15
2024-11-26 17:54:01.246846, 2475.96
2024-11-26 17:54:01.365719, 2476.25
2024-11-26 17:54:01.481629, 2476.19
2024-11-26 17:54:01.597601, 2475.86
2024-11-26 17:54:01.713504, 2475.61
2024-11-26 17:54:01.829427, 2475.15
2024-11-26 17:54:01.947547, 2474.41
2024-11-26 17:54:02.065933, 2473.60
2024-11-26 17:54:02.180315, 2472.79
2024-11-26 17:54:02.298633, 2472.25
2024-11-26 17:54:02.410958, 2472.16
2024-11-26 17:54:02.531126, 2471.89
2024-11-26 17:54:02.646042, 2471.49
2024-11-26 17:54:02.761256, 2471.30
2024-11-26 17:54:02.880987, 2471.15
2024-11-26 17:54:02.996550, 2471.00
2024-11-26 17:54:03.111699, 2470.93
2024-11-26 17:54:03.235552, 2470.67
2024-11-26 17:54:03.346164, 2470.65
2024-11-26 17:54:03.461331, 2470.29
2024-11-26 17:54:03.578991, 2469.90
2024-11-26 17:54:03.696916, 2469.54
2024-11-26 17:54:03.811602, 2469.51
2024-11-26 17:54:03.929474, 2469.67
2024-11-26 17:54:04.044177, 2469.65
2024-11-26 17:54:04.161427, 2469.74
2024-11-26 17:54:04.277669, 2470.12
2024-11-26 17:54:04.395370, 2470.50
2024-11-26 17:54:04.510543, 2470.17
2024-11-26 17:54:04.627918, 2470.36
2024-11-26 17:54:04.745575, 2470.45
2024-11-26 17:54:04.860237, 2470.41
2024-11-26 17:54:04.978733, 2469.97
2024-11-26 17:54:05.093643, 2469.59
2024-11-26 17:54:05.209133, 2469.78
2024-11-26 17:54:05.326884, 2469.90
2024-11-26 17:54:05.443093, 2469.29
2024-11-26 17:54:05.559758, 2468.77
2024-11-26 17:54:05.677343, 2468.76
2024-11-26 17:54:05.792322, 2468.59
2024-11-26 17:54:05.910398, 2468.32
2024-11-26 17:54:06.025801, 2468.09
2024-11-26 17:54:06.144160, 2468.16
2024-11-26 17:54:06.259706, 2467.97
